"id";"cond_c";"target_no";"condA";"condB";"judgment";"list"
"2j3ful83avvsujb5bpkqm8d1a1";"control";"1";"definite";"pro";-100;1
"2j3ful83avvsujb5bpkqm8d1a1";"control";"2";"definite";"pro";-100;1
"2j3ful83avvsujb5bpkqm8d1a1";"control";"3";"definite";"pro";-1;1
"2j3ful83avvsujb5bpkqm8d1a1";"control";"4";"definite";"pro";-73;1
"6an27b9eleft9geq94hd6l8ah5";"control";"2";"definite";"pro";53;1
"6an27b9eleft9geq94hd6l8ah5";"control";"1";"definite";"pro";-100;1
"6an27b9eleft9geq94hd6l8ah5";"control";"4";"definite";"pro";100;1
"6an27b9eleft9geq94hd6l8ah5";"control";"3";"definite";"pro";100;1
"77ki8hcq1cudqno30dlgt2usu0";"control";"4";"definite";"pro";100;1
"77ki8hcq1cudqno30dlgt2usu0";"control";"1";"definite";"pro";-100;1
"77ki8hcq1cudqno30dlgt2usu0";"control";"3";"definite";"pro";-100;1
"77ki8hcq1cudqno30dlgt2usu0";"control";"2";"definite";"pro";-100;1
"7vhabetcrh2bh87tq5q71gtk47";"control";"3";"definite";"pro";29;1
"7vhabetcrh2bh87tq5q71gtk47";"control";"4";"definite";"pro";-60;1
"7vhabetcrh2bh87tq5q71gtk47";"control";"2";"definite";"pro";35;1
"7vhabetcrh2bh87tq5q71gtk47";"control";"1";"definite";"pro";-61;1
"b7k32k3hnp8csikrhmrmo8rn86";"control";"3";"definite";"pro";90;1
"b7k32k3hnp8csikrhmrmo8rn86";"control";"2";"definite";"pro";-94;1
"b7k32k3hnp8csikrhmrmo8rn86";"control";"4";"definite";"pro";-76;1
"b7k32k3hnp8csikrhmrmo8rn86";"control";"1";"definite";"pro";-89;1
"vhnucem3l1p3qt6m4p18fin6r2";"control";"2";"definite";"pro";86;1
"vhnucem3l1p3qt6m4p18fin6r2";"control";"3";"definite";"pro";69;1
"vhnucem3l1p3qt6m4p18fin6r2";"control";"1";"definite";"pro";-78;1
"vhnucem3l1p3qt6m4p18fin6r2";"control";"4";"definite";"pro";76;1
"p4ru0s9ktubd1q3k2qm65i3po3";"control";"3";"definite";"pro";0;2
"p4ru0s9ktubd1q3k2qm65i3po3";"control";"4";"definite";"pro";78;2
"p4ru0s9ktubd1q3k2qm65i3po3";"control";"2";"definite";"pro";-100;2
"p4ru0s9ktubd1q3k2qm65i3po3";"control";"1";"definite";"pro";96;2
"saf8sjpkr0hgoj8u9ke9umdjq1";"control";"4";"definite";"pro";-100;2
"saf8sjpkr0hgoj8u9ke9umdjq1";"control";"2";"definite";"pro";-100;2
"saf8sjpkr0hgoj8u9ke9umdjq1";"control";"1";"definite";"pro";-100;2
"saf8sjpkr0hgoj8u9ke9umdjq1";"control";"3";"definite";"pro";-98;2
"87ln2lgivqe2pmkl3v5acvqo34";"control";"3";"definite";"pro";74;3
"87ln2lgivqe2pmkl3v5acvqo34";"control";"4";"definite";"pro";-80;3
"87ln2lgivqe2pmkl3v5acvqo34";"control";"2";"definite";"pro";-100;3
"87ln2lgivqe2pmkl3v5acvqo34";"control";"1";"definite";"pro";-100;3
"d5j1tho85vbchdimr0h71ooli1";"control";"4";"definite";"pro";61;3
"d5j1tho85vbchdimr0h71ooli1";"control";"3";"definite";"pro";38;3
"d5j1tho85vbchdimr0h71ooli1";"control";"2";"definite";"pro";-69;3
"d5j1tho85vbchdimr0h71ooli1";"control";"1";"definite";"pro";61;3
"jjbpv28ljiis2rc2nt1pbfn582";"control";"1";"definite";"pro";-65;3
"jjbpv28ljiis2rc2nt1pbfn582";"control";"2";"definite";"pro";-91;3
"jjbpv28ljiis2rc2nt1pbfn582";"control";"3";"definite";"pro";-89;3
"jjbpv28ljiis2rc2nt1pbfn582";"control";"4";"definite";"pro";-67;3
"0bm9n0jfmvc9t2sru5ru5bg1b0";"control";"2";"definite";"pro";64;4
"0bm9n0jfmvc9t2sru5ru5bg1b0";"control";"1";"definite";"pro";85;4
"0bm9n0jfmvc9t2sru5ru5bg1b0";"control";"4";"definite";"pro";100;4
"0bm9n0jfmvc9t2sru5ru5bg1b0";"control";"3";"definite";"pro";100;4
"3h27epa5vi68fmd403qnu4skf7";"control";"3";"definite";"pro";-69;4
"3h27epa5vi68fmd403qnu4skf7";"control";"2";"definite";"pro";-100;4
"3h27epa5vi68fmd403qnu4skf7";"control";"1";"definite";"pro";-67;4
"3h27epa5vi68fmd403qnu4skf7";"control";"4";"definite";"pro";-64;4
"3ibfohph77b2o076abmrg0lft6";"control";"3";"definite";"pro";95;4
"3ibfohph77b2o076abmrg0lft6";"control";"4";"definite";"pro";100;4
"3ibfohph77b2o076abmrg0lft6";"control";"2";"definite";"pro";-100;4
"3ibfohph77b2o076abmrg0lft6";"control";"1";"definite";"pro";100;4
