id;cond_c;target_no;condA;condB;judgment;list
0a9nvsk01k1ah6pn68665iqjs2;c3;t5;canonical;cleft;72;6
0a9nvsk01k1ah6pn68665iqjs2;c1;t2;canonical;cleft;23;6
0a9nvsk01k1ah6pn68665iqjs2;c1;t1;canonical;cleft;13;6
0a9nvsk01k1ah6pn68665iqjs2;c3;t4;canonical;cleft;47;6
0rbqph4locs1lge3c58a4okm87;c3;t14;canonical;cleft;100;8
0rbqph4locs1lge3c58a4okm87;c1;t15;canonical;cleft;0;8
0rbqph4locs1lge3c58a4okm87;c1;t8;canonical;cleft;-15;8
0rbqph4locs1lge3c58a4okm87;c3;t13;canonical;cleft;100;8
1e7g0t0nne8u6e6ght75rif4l7;c3;t10;canonical;cleft;52;4
1e7g0t0nne8u6e6ght75rif4l7;c1;t3;canonical;cleft;71;4
1e7g0t0nne8u6e6ght75rif4l7;c3;t7;canonical;cleft;83;4
1e7g0t0nne8u6e6ght75rif4l7;c1;t12;canonical;cleft;0;4
5h03sepif3edjki32cp29ps3m4;c3;t10;canonical;cleft;30;4
5h03sepif3edjki32cp29ps3m4;c1;t3;canonical;cleft;-69;4
5h03sepif3edjki32cp29ps3m4;c1;t12;canonical;cleft;-68;4
5h03sepif3edjki32cp29ps3m4;c3;t7;canonical;cleft;57;4
6hmmf3j81hb37rs4b5qpbc5fh0;c1;t12;canonical;cleft;-14;4
6hmmf3j81hb37rs4b5qpbc5fh0;c1;t3;canonical;cleft;10;4
6hmmf3j81hb37rs4b5qpbc5fh0;c3;t10;canonical;cleft;91;4
6hmmf3j81hb37rs4b5qpbc5fh0;c3;t7;canonical;cleft;82;4
7aenhil1q1g9vv3fsrk6qkum57;c3;t2;canonical;cleft;100;5
7aenhil1q1g9vv3fsrk6qkum57;c3;t1;canonical;cleft;100;5
7aenhil1q1g9vv3fsrk6qkum57;c1;t5;canonical;cleft;18;5
7aenhil1q1g9vv3fsrk6qkum57;c1;t4;canonical;cleft;21;5
7omrik6mtj94f17s6agclcbbq4;c1;t2;canonical;cleft;71;6
7omrik6mtj94f17s6agclcbbq4;c3;t5;canonical;cleft;82;6
7omrik6mtj94f17s6agclcbbq4;c1;t1;canonical;cleft;-50;6
7omrik6mtj94f17s6agclcbbq4;c3;t4;canonical;cleft;53;6
9qe3nu1k6vc6m1u74mit68k261;c1;t6;canonical;cleft;-1;2
9qe3nu1k6vc6m1u74mit68k261;c3;t11;canonical;cleft;20;2
9qe3nu1k6vc6m1u74mit68k261;c1;t9;canonical;cleft;-25;2
9qe3nu1k6vc6m1u74mit68k261;c3;t16;canonical;cleft;1;2
annssg973n07n2r092udm2if13;c1;t16;canonical;cleft;-79;1
annssg973n07n2r092udm2if13;c3;t9;canonical;cleft;-16;1
annssg973n07n2r092udm2if13;c1;t11;canonical;cleft;26;1
annssg973n07n2r092udm2if13;c3;t6;canonical;cleft;-26;1
eiv5156p7pjfvsea8rmvsbqua6;c1;t14;canonical;cleft;-14;7
eiv5156p7pjfvsea8rmvsbqua6;c1;t13;canonical;cleft;1;7
eiv5156p7pjfvsea8rmvsbqua6;c3;t8;canonical;cleft;50;7
eiv5156p7pjfvsea8rmvsbqua6;c3;t15;canonical;cleft;-27;7
fm21v16h6mfs3u4kkmc9kduvk5;c3;t12;canonical;cleft;-13;3
fm21v16h6mfs3u4kkmc9kduvk5;c3;t3;canonical;cleft;26;3
fm21v16h6mfs3u4kkmc9kduvk5;c1;t7;canonical;cleft;54;3
fm21v16h6mfs3u4kkmc9kduvk5;c1;t10;canonical;cleft;29;3
g8j40bh36se8fvnnht8irr4t40;c3;t1;canonical;cleft;58;5
g8j40bh36se8fvnnht8irr4t40;c1;t4;canonical;cleft;65;5
g8j40bh36se8fvnnht8irr4t40;c1;t5;canonical;cleft;60;5
g8j40bh36se8fvnnht8irr4t40;c3;t2;canonical;cleft;52;5
gibtnii8fkl12maels8b8ep4d6;c1;t7;canonical;cleft;-62;3
gibtnii8fkl12maels8b8ep4d6;c1;t10;canonical;cleft;-82;3
gibtnii8fkl12maels8b8ep4d6;c3;t3;canonical;cleft;-81;3
gibtnii8fkl12maels8b8ep4d6;c3;t12;canonical;cleft;-92;3
huatpa83vvamuuckd4qvprh5r3;c1;t14;canonical;cleft;-45;7
huatpa83vvamuuckd4qvprh5r3;c3;t15;canonical;cleft;41;7
huatpa83vvamuuckd4qvprh5r3;c1;t13;canonical;cleft;0;7
