"id";"cond_c";"target_no";"condA";"condB";"judgment";"list";"tendency"
"6dhk6oipsvei8qf4fm4pjg2c51";"c1";"t16";"canonical";"cleft";1;"1";"cleft"
"6dhk6oipsvei8qf4fm4pjg2c51";"c3";"t6";"canonical";"cleft";100;"1";"cleft"
"6dhk6oipsvei8qf4fm4pjg2c51";"c1";"t11";"canonical";"cleft";0;"1";"equal"
"6dhk6oipsvei8qf4fm4pjg2c51";"c3";"t9";"canonical";"cleft";1;"1";"cleft"
"6eg715attctpaqp6rr03gv8i71";"c3";"t9";"canonical";"cleft";88;"1";"cleft"
"6eg715attctpaqp6rr03gv8i71";"c1";"t16";"canonical";"cleft";28;"1";"cleft"
"6eg715attctpaqp6rr03gv8i71";"c3";"t6";"canonical";"cleft";-62;"1";"canonical"
"6eg715attctpaqp6rr03gv8i71";"c1";"t11";"canonical";"cleft";-29;"1";"canonical"
"bbjugbmd8qnmneed452qv196r0";"c3";"t6";"canonical";"cleft";25;"1";"cleft"
"bbjugbmd8qnmneed452qv196r0";"c3";"t9";"canonical";"cleft";59;"1";"cleft"
"bbjugbmd8qnmneed452qv196r0";"c1";"t11";"canonical";"cleft";-68;"1";"canonical"
"bbjugbmd8qnmneed452qv196r0";"c1";"t16";"canonical";"cleft";-17;"1";"canonical"
"1hts2ok5u2htc42itpro8rfrf1";"c3";"t16";"canonical";"cleft";-88;"2";"canonical"
"1hts2ok5u2htc42itpro8rfrf1";"c3";"t11";"canonical";"cleft";63;"2";"cleft"
"1hts2ok5u2htc42itpro8rfrf1";"c1";"t6";"canonical";"cleft";-97;"2";"canonical"
"1hts2ok5u2htc42itpro8rfrf1";"c1";"t9";"canonical";"cleft";89;"2";"cleft"
"3qr2et8nh31l4gch4ehv3pi973";"c3";"t16";"canonical";"cleft";46;"2";"cleft"
"3qr2et8nh31l4gch4ehv3pi973";"c3";"t11";"canonical";"cleft";45;"2";"cleft"
"3qr2et8nh31l4gch4ehv3pi973";"c1";"t9";"canonical";"cleft";-69;"2";"canonical"
"3qr2et8nh31l4gch4ehv3pi973";"c1";"t6";"canonical";"cleft";6;"2";"cleft"
"akuuosjp21fp7ebtj63m6ijjp6";"c3";"t16";"canonical";"cleft";-53;"2";"canonical"
"akuuosjp21fp7ebtj63m6ijjp6";"c1";"t6";"canonical";"cleft";66;"2";"cleft"
"akuuosjp21fp7ebtj63m6ijjp6";"c1";"t9";"canonical";"cleft";27;"2";"cleft"
"akuuosjp21fp7ebtj63m6ijjp6";"c3";"t11";"canonical";"cleft";-16;"2";"canonical"
"8uihrjncit277v8j01mh8mk6l1";"c3";"t3";"canonical";"cleft";-100;"3";"canonical"
"8uihrjncit277v8j01mh8mk6l1";"c1";"t10";"canonical";"cleft";100;"3";"cleft"
"8uihrjncit277v8j01mh8mk6l1";"c3";"t12";"canonical";"cleft";-100;"3";"canonical"
"8uihrjncit277v8j01mh8mk6l1";"c1";"t7";"canonical";"cleft";-100;"3";"canonical"
"bon4vkcundvjfc2l34l60upjr7";"c1";"t10";"canonical";"cleft";11;"3";"cleft"
"bon4vkcundvjfc2l34l60upjr7";"c3";"t3";"canonical";"cleft";8;"3";"cleft"
"bon4vkcundvjfc2l34l60upjr7";"c3";"t12";"canonical";"cleft";-32;"3";"canonical"
"bon4vkcundvjfc2l34l60upjr7";"c1";"t7";"canonical";"cleft";0;"3";"equal"
"iae9f6n635v4r7uu4debjki015";"c3";"t12";"canonical";"cleft";-66;"3";"canonical"
"iae9f6n635v4r7uu4debjki015";"c1";"t10";"canonical";"cleft";-30;"3";"canonical"
"iae9f6n635v4r7uu4debjki015";"c1";"t7";"canonical";"cleft";-40;"3";"canonical"
"iae9f6n635v4r7uu4debjki015";"c3";"t3";"canonical";"cleft";-19;"3";"canonical"
"491r9ham1a947cdmlacgq71im0";"c1";"t3";"canonical";"cleft";100;"4";"cleft"
"491r9ham1a947cdmlacgq71im0";"c3";"t10";"canonical";"cleft";100;"4";"cleft"
"491r9ham1a947cdmlacgq71im0";"c1";"t12";"canonical";"cleft";-100;"4";"canonical"
"491r9ham1a947cdmlacgq71im0";"c3";"t7";"canonical";"cleft";8;"4";"cleft"
"a4i2aocevsoplcevv0negmsd06";"c3";"t10";"canonical";"cleft";49;"4";"cleft"
"a4i2aocevsoplcevv0negmsd06";"c1";"t12";"canonical";"cleft";0;"4";"equal"
"a4i2aocevsoplcevv0negmsd06";"c1";"t3";"canonical";"cleft";0;"4";"equal"
"a4i2aocevsoplcevv0negmsd06";"c3";"t7";"canonical";"cleft";21;"4";"cleft"
"cimu2g5remtp6rt5ti46m526c0";"c1";"t3";"canonical";"cleft";0;"4";"equal"
"cimu2g5remtp6rt5ti46m526c0";"c1";"t12";"canonical";"cleft";-79;"4";"canonical"
"cimu2g5remtp6rt5ti46m526c0";"c3";"t10";"canonical";"cleft";53;"4";"cleft"
"cimu2g5remtp6rt5ti46m526c0";"c3";"t7";"canonical";"cleft";0;"4";"equal"
"ngtui20l3oqn80rg0tdubb2qc5";"c1";"t12";"canonical";"cleft";-44;"4";"canonical"
"ngtui20l3oqn80rg0tdubb2qc5";"c1";"t3";"canonical";"cleft";-53;"4";"canonical"
"ngtui20l3oqn80rg0tdubb2qc5";"c3";"t10";"canonical";"cleft";34;"4";"cleft"
"ngtui20l3oqn80rg0tdubb2qc5";"c3";"t7";"canonical";"cleft";22;"4";"cleft"
