"id";"cond_c";"target_no";"condA";"condB";"judgment";"list"
"6dhk6oipsvei8qf4fm4pjg2c51";"f";"8";"dm";"no_dm";-100;1
"6dhk6oipsvei8qf4fm4pjg2c51";"f";"5";"dm";"no_dm";-100;1
"6dhk6oipsvei8qf4fm4pjg2c51";"control";"4";"definite";"pro";100;1
"6dhk6oipsvei8qf4fm4pjg2c51";"f";"1";"unfront";"front";0;1
"6dhk6oipsvei8qf4fm4pjg2c51";"f";"2";"unfront";"front";-100;1
"6dhk6oipsvei8qf4fm4pjg2c51";"f";"3";"unfront";"front";-100;1
"6dhk6oipsvei8qf4fm4pjg2c51";"f";"6";"dm";"no_dm";-100;1
"6dhk6oipsvei8qf4fm4pjg2c51";"control";"3";"definite";"pro";100;1
"6dhk6oipsvei8qf4fm4pjg2c51";"control";"2";"definite";"pro";-100;1
"6dhk6oipsvei8qf4fm4pjg2c51";"f";"4";"unfront";"front";-58;1
"6dhk6oipsvei8qf4fm4pjg2c51";"f";"7";"no_dm";"dm";100;1
"6dhk6oipsvei8qf4fm4pjg2c51";"control";"1";"definite";"pro";-100;1
"6eg715attctpaqp6rr03gv8i71";"f";"6";"no_dm";"dm";76;1
"6eg715attctpaqp6rr03gv8i71";"f";"4";"unfront";"front";-88;1
"6eg715attctpaqp6rr03gv8i71";"f";"3";"unfront";"front";-92;1
"6eg715attctpaqp6rr03gv8i71";"control";"1";"definite";"pro";-84;1
"6eg715attctpaqp6rr03gv8i71";"f";"8";"no_dm";"dm";93;1
"6eg715attctpaqp6rr03gv8i71";"f";"2";"unfront";"front";73;1
"6eg715attctpaqp6rr03gv8i71";"control";"2";"definite";"pro";-70;1
"6eg715attctpaqp6rr03gv8i71";"control";"4";"definite";"pro";84;1
"6eg715attctpaqp6rr03gv8i71";"f";"7";"dm";"no_dm";-69;1
"6eg715attctpaqp6rr03gv8i71";"f";"1";"front";"unfront";-38;1
"6eg715attctpaqp6rr03gv8i71";"f";"5";"no_dm";"dm";42;1
"6eg715attctpaqp6rr03gv8i71";"control";"3";"definite";"pro";75;1
"bbjugbmd8qnmneed452qv196r0";"f";"3";"unfront";"front";-69;1
"bbjugbmd8qnmneed452qv196r0";"f";"6";"no_dm";"dm";56;1
"bbjugbmd8qnmneed452qv196r0";"f";"8";"no_dm";"dm";-18;1
"bbjugbmd8qnmneed452qv196r0";"control";"1";"definite";"pro";-100;1
"bbjugbmd8qnmneed452qv196r0";"f";"5";"dm";"no_dm";-54;1
"bbjugbmd8qnmneed452qv196r0";"control";"2";"definite";"pro";-95;1
"bbjugbmd8qnmneed452qv196r0";"f";"7";"no_dm";"dm";46;1
"bbjugbmd8qnmneed452qv196r0";"control";"3";"definite";"pro";81;1
"bbjugbmd8qnmneed452qv196r0";"control";"4";"definite";"pro";97;1
"bbjugbmd8qnmneed452qv196r0";"f";"1";"front";"unfront";0;1
"bbjugbmd8qnmneed452qv196r0";"f";"2";"front";"unfront";56;1
"bbjugbmd8qnmneed452qv196r0";"f";"4";"unfront";"front";-62;1
"d7qk30b61d41h692fapiclpu57";"f";"5";"no_dm";"dm";-90;1
"d7qk30b61d41h692fapiclpu57";"f";"2";"front";"unfront";73;1
"d7qk30b61d41h692fapiclpu57";"f";"3";"unfront";"front";-63;1
"d7qk30b61d41h692fapiclpu57";"f";"8";"dm";"no_dm";-100;1
"d7qk30b61d41h692fapiclpu57";"control";"2";"definite";"pro";-55;1
"d7qk30b61d41h692fapiclpu57";"f";"1";"unfront";"front";-84;1
"d7qk30b61d41h692fapiclpu57";"control";"3";"definite";"pro";15;1
"d7qk30b61d41h692fapiclpu57";"f";"7";"no_dm";"dm";100;1
"d7qk30b61d41h692fapiclpu57";"f";"6";"no_dm";"dm";66;1
"d7qk30b61d41h692fapiclpu57";"f";"4";"front";"unfront";51;1
"d7qk30b61d41h692fapiclpu57";"control";"1";"definite";"pro";-55;1
"d7qk30b61d41h692fapiclpu57";"control";"4";"definite";"pro";14;1
"1hts2ok5u2htc42itpro8rfrf1";"f";"1";"unfront";"front";-100;2
"1hts2ok5u2htc42itpro8rfrf1";"control";"4";"definite";"pro";100;2
"1hts2ok5u2htc42itpro8rfrf1";"f";"7";"no_dm";"dm";-100;2
"1hts2ok5u2htc42itpro8rfrf1";"f";"4";"unfront";"front";-100;2
"1hts2ok5u2htc42itpro8rfrf1";"control";"3";"definite";"pro";96;2
"1hts2ok5u2htc42itpro8rfrf1";"f";"6";"dm";"no_dm";-97;2
"1hts2ok5u2htc42itpro8rfrf1";"control";"1";"definite";"pro";-100;2
"1hts2ok5u2htc42itpro8rfrf1";"f";"8";"dm";"no_dm";-100;2
"1hts2ok5u2htc42itpro8rfrf1";"f";"5";"dm";"no_dm";-100;2
"1hts2ok5u2htc42itpro8rfrf1";"f";"2";"front";"unfront";100;2
"1hts2ok5u2htc42itpro8rfrf1";"control";"2";"definite";"pro";-100;2
"1hts2ok5u2htc42itpro8rfrf1";"f";"3";"front";"unfront";82;2
"3qr2et8nh31l4gch4ehv3pi973";"f";"6";"dm";"no_dm";-70;2
"3qr2et8nh31l4gch4ehv3pi973";"f";"3";"unfront";"front";-8;2
"3qr2et8nh31l4gch4ehv3pi973";"control";"3";"definite";"pro";52;2
"3qr2et8nh31l4gch4ehv3pi973";"f";"2";"unfront";"front";-6;2
"3qr2et8nh31l4gch4ehv3pi973";"f";"5";"dm";"no_dm";-73;2
"3qr2et8nh31l4gch4ehv3pi973";"control";"4";"definite";"pro";52;2
"3qr2et8nh31l4gch4ehv3pi973";"f";"8";"no_dm";"dm";44;2
"3qr2et8nh31l4gch4ehv3pi973";"control";"1";"definite";"pro";-100;2
"3qr2et8nh31l4gch4ehv3pi973";"f";"7";"dm";"no_dm";-69;2
"3qr2et8nh31l4gch4ehv3pi973";"control";"2";"definite";"pro";-100;2
"3qr2et8nh31l4gch4ehv3pi973";"f";"4";"front";"unfront";100;2
"3qr2et8nh31l4gch4ehv3pi973";"f";"1";"front";"unfront";97;2
"akuuosjp21fp7ebtj63m6ijjp6";"f";"4";"front";"unfront";100;2
"akuuosjp21fp7ebtj63m6ijjp6";"control";"3";"definite";"pro";19;2
"akuuosjp21fp7ebtj63m6ijjp6";"f";"1";"front";"unfront";44;2
"akuuosjp21fp7ebtj63m6ijjp6";"control";"4";"definite";"pro";54;2
"akuuosjp21fp7ebtj63m6ijjp6";"f";"5";"dm";"no_dm";-73;2
"akuuosjp21fp7ebtj63m6ijjp6";"f";"2";"unfront";"front";-57;2
"akuuosjp21fp7ebtj63m6ijjp6";"control";"2";"definite";"pro";-81;2
"akuuosjp21fp7ebtj63m6ijjp6";"f";"7";"dm";"no_dm";-57;2
"akuuosjp21fp7ebtj63m6ijjp6";"f";"8";"no_dm";"dm";92;2
"akuuosjp21fp7ebtj63m6ijjp6";"control";"1";"definite";"pro";-34;2
"akuuosjp21fp7ebtj63m6ijjp6";"f";"6";"no_dm";"dm";-51;2
"akuuosjp21fp7ebtj63m6ijjp6";"f";"3";"front";"unfront";57;2
"cs4sf138torpl120eoujvea9m6";"f";"7";"no_dm";"dm";41;2
"cs4sf138torpl120eoujvea9m6";"f";"2";"unfront";"front";-55;2
"cs4sf138torpl120eoujvea9m6";"f";"1";"unfront";"front";-1;2
"cs4sf138torpl120eoujvea9m6";"control";"2";"definite";"pro";0;2
"cs4sf138torpl120eoujvea9m6";"control";"4";"definite";"pro";100;2
"cs4sf138torpl120eoujvea9m6";"f";"4";"front";"unfront";83;2
"cs4sf138torpl120eoujvea9m6";"f";"3";"front";"unfront";52;2
"cs4sf138torpl120eoujvea9m6";"control";"1";"definite";"pro";-56;2
"cs4sf138torpl120eoujvea9m6";"control";"3";"definite";"pro";53;2
"cs4sf138torpl120eoujvea9m6";"f";"6";"no_dm";"dm";76;2
"cs4sf138torpl120eoujvea9m6";"f";"5";"no_dm";"dm";71;2
"cs4sf138torpl120eoujvea9m6";"f";"8";"no_dm";"dm";44;2
"8uihrjncit277v8j01mh8mk6l1";"f";"5";"dm";"no_dm";-100;3
"8uihrjncit277v8j01mh8mk6l1";"f";"1";"unfront";"front";-62;3
"8uihrjncit277v8j01mh8mk6l1";"control";"4";"definite";"pro";100;3
"8uihrjncit277v8j01mh8mk6l1";"f";"6";"no_dm";"dm";100;3
"8uihrjncit277v8j01mh8mk6l1";"f";"2";"front";"unfront";100;3
"8uihrjncit277v8j01mh8mk6l1";"control";"2";"definite";"pro";-100;3
"8uihrjncit277v8j01mh8mk6l1";"f";"3";"unfront";"front";-100;3
"8uihrjncit277v8j01mh8mk6l1";"f";"7";"dm";"no_dm";-100;3
"8uihrjncit277v8j01mh8mk6l1";"f";"8";"dm";"no_dm";-100;3
"8uihrjncit277v8j01mh8mk6l1";"control";"3";"definite";"pro";100;3
"8uihrjncit277v8j01mh8mk6l1";"control";"1";"definite";"pro";-100;3
"8uihrjncit277v8j01mh8mk6l1";"f";"4";"unfront";"front";-100;3
"bon4vkcundvjfc2l34l60upjr7";"control";"2";"definite";"pro";-64;3
"bon4vkcundvjfc2l34l60upjr7";"f";"6";"no_dm";"dm";31;3
"bon4vkcundvjfc2l34l60upjr7";"control";"1";"definite";"pro";-63;3
"bon4vkcundvjfc2l34l60upjr7";"f";"3";"front";"unfront";42;3
"bon4vkcundvjfc2l34l60upjr7";"f";"1";"unfront";"front";20;3
"bon4vkcundvjfc2l34l60upjr7";"f";"5";"dm";"no_dm";-76;3
"bon4vkcundvjfc2l34l60upjr7";"f";"2";"unfront";"front";14;3
"bon4vkcundvjfc2l34l60upjr7";"f";"4";"front";"unfront";18;3
"bon4vkcundvjfc2l34l60upjr7";"f";"8";"no_dm";"dm";22;3
"bon4vkcundvjfc2l34l60upjr7";"control";"3";"definite";"pro";47;3
"bon4vkcundvjfc2l34l60upjr7";"control";"4";"definite";"pro";83;3
"bon4vkcundvjfc2l34l60upjr7";"f";"7";"dm";"no_dm";-42;3
"iae9f6n635v4r7uu4debjki015";"f";"6";"no_dm";"dm";64;3
"iae9f6n635v4r7uu4debjki015";"control";"4";"definite";"pro";77;3
"iae9f6n635v4r7uu4debjki015";"f";"3";"front";"unfront";66;3
"iae9f6n635v4r7uu4debjki015";"f";"5";"no_dm";"dm";69;3
"iae9f6n635v4r7uu4debjki015";"f";"4";"front";"unfront";97;3
"iae9f6n635v4r7uu4debjki015";"control";"1";"definite";"pro";-74;3
"iae9f6n635v4r7uu4debjki015";"control";"3";"definite";"pro";66;3
"iae9f6n635v4r7uu4debjki015";"control";"2";"definite";"pro";-88;3
"iae9f6n635v4r7uu4debjki015";"f";"7";"dm";"no_dm";35;3
"iae9f6n635v4r7uu4debjki015";"f";"8";"dm";"no_dm";-33;3
"iae9f6n635v4r7uu4debjki015";"f";"2";"unfront";"front";-35;3
"iae9f6n635v4r7uu4debjki015";"f";"1";"front";"unfront";40;3
"vga86sqbrarr4pggng9jdboak0";"control";"3";"definite";"pro";100;3
"vga86sqbrarr4pggng9jdboak0";"f";"2";"unfront";"front";-52;3
"vga86sqbrarr4pggng9jdboak0";"f";"6";"dm";"no_dm";0;3
"vga86sqbrarr4pggng9jdboak0";"f";"3";"unfront";"front";-28;3
"vga86sqbrarr4pggng9jdboak0";"control";"4";"definite";"pro";100;3
"vga86sqbrarr4pggng9jdboak0";"f";"5";"dm";"no_dm";-27;3
"vga86sqbrarr4pggng9jdboak0";"control";"2";"definite";"pro";-100;3
"vga86sqbrarr4pggng9jdboak0";"f";"8";"no_dm";"dm";23;3
"vga86sqbrarr4pggng9jdboak0";"control";"1";"definite";"pro";100;3
"vga86sqbrarr4pggng9jdboak0";"f";"4";"unfront";"front";-77;3
"vga86sqbrarr4pggng9jdboak0";"f";"7";"no_dm";"dm";33;3
"vga86sqbrarr4pggng9jdboak0";"f";"1";"unfront";"front";-54;3
"491r9ham1a947cdmlacgq71im0";"control";"4";"definite";"pro";51;4
"491r9ham1a947cdmlacgq71im0";"f";"4";"unfront";"front";-100;4
"491r9ham1a947cdmlacgq71im0";"f";"1";"unfront";"front";-100;4
"491r9ham1a947cdmlacgq71im0";"control";"3";"definite";"pro";100;4
"491r9ham1a947cdmlacgq71im0";"control";"2";"definite";"pro";-83;4
"491r9ham1a947cdmlacgq71im0";"f";"5";"dm";"no_dm";-100;4
"491r9ham1a947cdmlacgq71im0";"f";"2";"front";"unfront";100;4
"491r9ham1a947cdmlacgq71im0";"f";"3";"front";"unfront";83;4
"491r9ham1a947cdmlacgq71im0";"f";"7";"dm";"no_dm";-54;4
"491r9ham1a947cdmlacgq71im0";"f";"8";"dm";"no_dm";-61;4
"491r9ham1a947cdmlacgq71im0";"f";"6";"dm";"no_dm";-80;4
"491r9ham1a947cdmlacgq71im0";"control";"1";"definite";"pro";-99;4
"a4i2aocevsoplcevv0negmsd06";"control";"3";"definite";"pro";95;4
"a4i2aocevsoplcevv0negmsd06";"f";"6";"dm";"no_dm";-50;4
"a4i2aocevsoplcevv0negmsd06";"f";"5";"dm";"no_dm";-34;4
"a4i2aocevsoplcevv0negmsd06";"f";"2";"front";"unfront";-25;4
"a4i2aocevsoplcevv0negmsd06";"control";"4";"definite";"pro";80;4
