id;target_no;cond_c;cond_q;expec;list
0iag69rtodu334o9o79qju9g32;t7;c3;pq3;58;1
0iag69rtodu334o9o79qju9g32;t4;c3;pq1;12;1
0iag69rtodu334o9o79qju9g32;t15;c1;pq3;4;1
0iag69rtodu334o9o79qju9g32;t1;c3;then;0;1
0iag69rtodu334o9o79qju9g32;t11;c1;irr;3;1
0iag69rtodu334o9o79qju9g32;t3;c3;then;86;1
0iag69rtodu334o9o79qju9g32;t5;c3;pq2;45;1
0iag69rtodu334o9o79qju9g32;t16;c1;pq2;82;1
0iag69rtodu334o9o79qju9g32;t13;c1;pq3;88;1
0iag69rtodu334o9o79qju9g32;t10;c1;irr;1;1
0iag69rtodu334o9o79qju9g32;t12;c1;irr;1;1
0iag69rtodu334o9o79qju9g32;t6;c3;pq2;72;1
0iag69rtodu334o9o79qju9g32;t9;c1;irr;2;1
0iag69rtodu334o9o79qju9g32;t14;c1;pq2;94;1
0iag69rtodu334o9o79qju9g32;t2;c3;then;93;1
0iag69rtodu334o9o79qju9g32;t8;c3;irr;2;1
0s4ocmjfa52hecqqa6ralh1lq6;t8;c3;pq1;16;1
0s4ocmjfa52hecqqa6ralh1lq6;t2;c3;irr;0;1
0s4ocmjfa52hecqqa6ralh1lq6;t15;c1;pq1;53;1
0s4ocmjfa52hecqqa6ralh1lq6;t9;c1;irr;5;1
0s4ocmjfa52hecqqa6ralh1lq6;t5;c3;irr;0;1
0s4ocmjfa52hecqqa6ralh1lq6;t1;c3;pq3;37;1
0s4ocmjfa52hecqqa6ralh1lq6;t12;c1;irr;0;1
0s4ocmjfa52hecqqa6ralh1lq6;t3;c3;pq1;33;1
0s4ocmjfa52hecqqa6ralh1lq6;t4;c3;pq3;40;1
0s4ocmjfa52hecqqa6ralh1lq6;t10;c1;pq2;16;1
0s4ocmjfa52hecqqa6ralh1lq6;t14;c1;pq2;52;1
0s4ocmjfa52hecqqa6ralh1lq6;t6;c3;then;61;1
0s4ocmjfa52hecqqa6ralh1lq6;t13;c1;then;48;1
0s4ocmjfa52hecqqa6ralh1lq6;t7;c3;irr;0;1
0s4ocmjfa52hecqqa6ralh1lq6;t11;c1;pq3;50;1
0s4ocmjfa52hecqqa6ralh1lq6;t16;c1;pq1;34;1
2hgtjn6743mh6vh9a41d2qsem1;t5;c3;irr;0;1
2hgtjn6743mh6vh9a41d2qsem1;t14;c1;then;100;1
2hgtjn6743mh6vh9a41d2qsem1;t12;c1;pq3;0;1
2hgtjn6743mh6vh9a41d2qsem1;t3;c3;pq1;0;1
2hgtjn6743mh6vh9a41d2qsem1;t7;c3;pq1;0;1
2hgtjn6743mh6vh9a41d2qsem1;t16;c1;irr;0;1
2hgtjn6743mh6vh9a41d2qsem1;t4;c3;pq3;100;1
2hgtjn6743mh6vh9a41d2qsem1;t9;c1;pq3;0;1
2hgtjn6743mh6vh9a41d2qsem1;t1;c3;irr;0;1
2hgtjn6743mh6vh9a41d2qsem1;t10;c1;pq2;0;1
2hgtjn6743mh6vh9a41d2qsem1;t11;c1;irr;0;1
2hgtjn6743mh6vh9a41d2qsem1;t13;c1;pq2;0;1
2hgtjn6743mh6vh9a41d2qsem1;t8;c3;pq2;0;1
2hgtjn6743mh6vh9a41d2qsem1;t2;c3;irr;0;1
2hgtjn6743mh6vh9a41d2qsem1;t6;c3;pq3;100;1
2hgtjn6743mh6vh9a41d2qsem1;t15;c1;pq3;0;1
2jk604hc37m9vkptru23hrio74;t2;c3;pq3;100;1
2jk604hc37m9vkptru23hrio74;t4;c3;pq3;100;1
2jk604hc37m9vkptru23hrio74;t11;c1;pq3;0;1
2jk604hc37m9vkptru23hrio74;t10;c1;pq2;16;1
2jk604hc37m9vkptru23hrio74;t1;c3;pq3;100;1
2jk604hc37m9vkptru23hrio74;t5;c3;pq1;80;1
2jk604hc37m9vkptru23hrio74;t12;c1;pq1;87;1
