"id";"target_no";"cond_c";"cond_q";"expec";"list"
"cu9f77f0qjn23sdp3n0jgtm6n6";"t5";"c3";"pq1";72;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t2";"c3";"pq2";9;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t10";"c1";"pq2";74;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t7";"c3";"pq3";75;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t9";"c1";"pq2";65;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t11";"c1";"pq3";14;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t6";"c3";"then";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t1";"c3";"pq1";8;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t8";"c3";"pq2";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t4";"c3";"pq1";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t15";"c1";"pq1";73;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t14";"c1";"then";22;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t13";"c1";"pq2";12;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t3";"c3";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t12";"c1";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t16";"c1";"then";15;1
"tn95f8g8dee2ptbj2k0428sfl4";"t4";"c1";"then";91;2
"tn95f8g8dee2ptbj2k0428sfl4";"t16";"c3";"pq2";16;2
"tn95f8g8dee2ptbj2k0428sfl4";"t14";"c3";"pq1";9;2
"tn95f8g8dee2ptbj2k0428sfl4";"t11";"c3";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t13";"c3";"then";6;2
"tn95f8g8dee2ptbj2k0428sfl4";"t5";"c1";"then";9;2
"tn95f8g8dee2ptbj2k0428sfl4";"t7";"c1";"pq3";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t12";"c3";"pq3";82;2
"tn95f8g8dee2ptbj2k0428sfl4";"t15";"c3";"pq1";24;2
"tn95f8g8dee2ptbj2k0428sfl4";"t1";"c1";"pq2";85;2
"tn95f8g8dee2ptbj2k0428sfl4";"t3";"c1";"pq2";4;2
"tn95f8g8dee2ptbj2k0428sfl4";"t8";"c1";"pq2";76;2
"tn95f8g8dee2ptbj2k0428sfl4";"t10";"c3";"then";3;2
"tn95f8g8dee2ptbj2k0428sfl4";"t6";"c1";"then";11;2
"tn95f8g8dee2ptbj2k0428sfl4";"t9";"c3";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t2";"c1";"pq2";76;2
"cu9f77f0qjn23sdp3n0jgtm6n6";"t5";"c3";"then";6;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t2";"c3";"pq1";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t10";"c1";"then";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t7";"c3";"then";3;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t9";"c1";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t11";"c1";"pq2";38;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t6";"c3";"pq2";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t1";"c3";"then";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t8";"c3";"then";9;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t4";"c3";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t15";"c1";"pq3";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t14";"c1";"pq1";81;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t13";"c1";"pq3";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t3";"c3";"pq2";19;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t12";"c1";"pq3";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t16";"c1";"irr";0;1
"tn95f8g8dee2ptbj2k0428sfl4";"t4";"c1";"pq3";53;2
"tn95f8g8dee2ptbj2k0428sfl4";"t16";"c3";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t14";"c3";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t11";"c3";"then";16;2
"tn95f8g8dee2ptbj2k0428sfl4";"t13";"c3";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t5";"c1";"pq3";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t7";"c1";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t12";"c3";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t15";"c3";"then";23;2
"tn95f8g8dee2ptbj2k0428sfl4";"t1";"c1";"then";6;2
"tn95f8g8dee2ptbj2k0428sfl4";"t3";"c1";"then";5;2
"tn95f8g8dee2ptbj2k0428sfl4";"t8";"c1";"then";6;2
"tn95f8g8dee2ptbj2k0428sfl4";"t10";"c3";"pq3";51;2
"tn95f8g8dee2ptbj2k0428sfl4";"t6";"c1";"pq3";4;2
"tn95f8g8dee2ptbj2k0428sfl4";"t9";"c3";"pq2";5;2
"tn95f8g8dee2ptbj2k0428sfl4";"t2";"c1";"then";12;2
"cu9f77f0qjn23sdp3n0jgtm6n6";"t5";"c3";"pq2";61;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t2";"c3";"then";58;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t10";"c1";"pq3";31;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t7";"c3";"pq1";23;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t9";"c1";"pq3";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t11";"c1";"pq1";78;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t6";"c3";"pq3";74;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t1";"c3";"pq3";94;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t8";"c3";"pq1";10;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t4";"c3";"then";23;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t15";"c1";"then";49;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t14";"c1";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t13";"c1";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t3";"c3";"then";26;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t12";"c1";"pq2";18;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t16";"c1";"pq2";27;1
"tn95f8g8dee2ptbj2k0428sfl4";"t4";"c1";"pq1";39;2
