id;context;cond;exp;list;position
p1;c1-5;irr-5;0;list1;1
p1;c2-3;irr-3;0;list1;1
p1;filler1-c3;filler1-q4;100;list1;1
p1;c3-2;then-2;100;list1;1
p1;c2-4;pq3-4;0;list1;1
p1;control1-c1;control1-q1;100;list1;1
p1;c1-6;then-6;100;list1;1
p1;c3-1;then-1;41;list1;1
p1;filler3-c2;filler3-q4;20;list1;1
p1;filler2-c1;filler2-q4;100;list1;1
p1;control2-c2;control2-q1;0;list1;1
p1;control3-c3;control3-q1;100;list1;1
p2;filler3-c2;filler3-q5;24;list1;1
p2;c1-5;pq2-5;100;list1;1
p2;filler2-c1;filler2-q2;41;list1;1
p2;control2-c2;control2-q5;0;list1;1
p2;c3-1;pq2-1;100;list1;1
p2;control3-c3;control3-q2;71;list1;1
p2;c3-2;pq2-2;100;list1;1
p2;filler1-c3;filler1-q3;100;list1;1
p2;c2-4;pq2-4;83;list1;1
p2;c1-6;pq3-6;47;list1;1
p2;c2-3;then-3;44;list1;1
p2;control1-c1;control1-q3;63;list1;1
p3;c1-6;pq2-6;39;list1;1
p3;c3-1;then-1;53;list1;1
p3;c3-2;pq2-2;32;list1;1
p3;filler2-c1;filler2-q4;62;list1;1
p3;c2-4;pq2-4;54;list1;1
p3;c2-3;pq1-3;3;list1;1
p3;control1-c1;control1-q5;0;list1;1
p3;c1-5;pq3-5;0;list1;1
p3;control2-c2;control2-q2;78;list1;1
p3;filler1-c3;filler1-q1;3;list1;1
p3;control3-c3;control3-q2;56;list1;1
p3;filler3-c2;filler3-q3;27;list1;1
p4;filler2-c1;filler2-q1;0;list1;1
p4;control1-c1;control1-q1;100;list1;1
p4;c3-1;pq2-1;100;list1;1
p4;control3-c3;control3-q4;0;list1;1
p4;c3-2;pq3-2;79;list1;1
p4;c2-4;then-4;100;list1;1
p4;c1-6;pq1-6;100;list1;1
p4;control2-c2;control2-q4;0;list1;1
p4;filler3-c2;filler3-q3;0;list1;1
p4;filler1-c3;filler1-q1;0;list1;1
p4;c2-3;pq1-3;100;list1;1
p4;c1-5;then-5;60;list1;1
p5;control3-c3;control3-q1;100;list1;1
p5;c3-2;pq3-2;83;list1;1
p5;filler1-c3;filler1-q3;100;list1;1
p5;control2-c2;control2-q4;1;list1;1
p5;c1-6;then-6;72;list1;1
p5;c2-3;pq1-3;100;list1;1
p5;filler3-c2;filler3-q2;18;list1;1
p5;filler2-c1;filler2-q5;18;list1;1
p5;control1-c1;control1-q5;0;list1;1
p5;c1-5;then-5;84;list1;1
p5;c3-1;pq1-1;33;list1;1
p5;c2-4;pq3-4;12;list1;1
p1;c1-5;pq1-5;100;list1;2
p1;c2-3;pq3-3;0;list1;2
p1;filler1-c3;filler1-q2;37;list1;2
