"id";"target_no";"cond_c";"cond_q";"expec";"list"
"9pnkdbv1unungvuf2kun9akb36";"t12";"c1";"pq3";0;1
"9pnkdbv1unungvuf2kun9akb36";"t2";"c3";"irr";0;1
"9pnkdbv1unungvuf2kun9akb36";"t11";"c1";"pq1";83;1
"9pnkdbv1unungvuf2kun9akb36";"t10";"c1";"pq2";3;1
"9pnkdbv1unungvuf2kun9akb36";"t13";"c1";"then";36;1
"9pnkdbv1unungvuf2kun9akb36";"t15";"c1";"pq2";0;1
"9pnkdbv1unungvuf2kun9akb36";"t16";"c1";"pq1";100;1
"9pnkdbv1unungvuf2kun9akb36";"t1";"c3";"pq1";33;1
"9pnkdbv1unungvuf2kun9akb36";"t5";"c3";"irr";0;1
"9pnkdbv1unungvuf2kun9akb36";"t14";"c1";"pq3";0;1
"9pnkdbv1unungvuf2kun9akb36";"t3";"c3";"then";0;1
"9pnkdbv1unungvuf2kun9akb36";"t8";"c3";"pq1";50;1
"9pnkdbv1unungvuf2kun9akb36";"t4";"c3";"then";63;1
"9pnkdbv1unungvuf2kun9akb36";"t6";"c3";"irr";0;1
"9pnkdbv1unungvuf2kun9akb36";"t9";"c1";"pq1";14;1
"9pnkdbv1unungvuf2kun9akb36";"t7";"c3";"pq2";0;1
"daorarnj58i6splt1c5c9826s0";"t11";"c1";"then";0;1
"daorarnj58i6splt1c5c9826s0";"t3";"c3";"pq3";70;1
"daorarnj58i6splt1c5c9826s0";"t15";"c1";"then";73;1
"daorarnj58i6splt1c5c9826s0";"t6";"c3";"pq3";80;1
"daorarnj58i6splt1c5c9826s0";"t12";"c1";"then";74;1
"daorarnj58i6splt1c5c9826s0";"t4";"c3";"pq3";80;1
"daorarnj58i6splt1c5c9826s0";"t13";"c1";"pq2";84;1
"daorarnj58i6splt1c5c9826s0";"t2";"c3";"pq2";92;1
"daorarnj58i6splt1c5c9826s0";"t1";"c3";"pq3";94;1
"daorarnj58i6splt1c5c9826s0";"t9";"c1";"pq2";84;1
"daorarnj58i6splt1c5c9826s0";"t10";"c1";"pq2";87;1
"daorarnj58i6splt1c5c9826s0";"t14";"c1";"pq3";0;1
"daorarnj58i6splt1c5c9826s0";"t7";"c3";"pq1";77;1
"daorarnj58i6splt1c5c9826s0";"t16";"c1";"then";67;1
"daorarnj58i6splt1c5c9826s0";"t5";"c3";"pq1";81;1
"daorarnj58i6splt1c5c9826s0";"t8";"c3";"then";66;1
"nibceue099bj6quqcl2a141362";"t12";"c1";"irr";0;1
"nibceue099bj6quqcl2a141362";"t15";"c1";"irr";0;1
"nibceue099bj6quqcl2a141362";"t10";"c1";"pq2";78;1
"nibceue099bj6quqcl2a141362";"t16";"c1";"pq2";84;1
"nibceue099bj6quqcl2a141362";"t11";"c1";"then";100;1
"nibceue099bj6quqcl2a141362";"t8";"c3";"pq1";87;1
"nibceue099bj6quqcl2a141362";"t7";"c3";"pq2";58;1
"nibceue099bj6quqcl2a141362";"t1";"c3";"pq1";82;1
"nibceue099bj6quqcl2a141362";"t4";"c3";"irr";0;1
"nibceue099bj6quqcl2a141362";"t9";"c1";"pq3";15;1
"nibceue099bj6quqcl2a141362";"t6";"c3";"irr";0;1
"nibceue099bj6quqcl2a141362";"t3";"c3";"pq2";84;1
"nibceue099bj6quqcl2a141362";"t2";"c3";"pq3";85;1
"nibceue099bj6quqcl2a141362";"t13";"c1";"irr";0;1
"nibceue099bj6quqcl2a141362";"t14";"c1";"pq1";93;1
"nibceue099bj6quqcl2a141362";"t5";"c3";"pq1";90;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t3";"c3";"pq2";100;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t4";"c3";"then";100;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t9";"c1";"irr";0;1
"arcq9q54p7nedt0qj7tvuld0h6";"t9";"c1";"then";84;1
"arcq9q54p7nedt0qj7tvuld0h6";"t4";"c3";"pq3";97;1
"arcq9q54p7nedt0qj7tvuld0h6";"t11";"c1";"pq2";88;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t14";"c1";"irr";0;1
"arcq9q54p7nedt0qj7tvuld0h6";"t14";"c1";"irr";0;1
"arcq9q54p7nedt0qj7tvuld0h6";"t6";"c3";"pq2";96;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t16";"c1";"pq2";39;1
"arcq9q54p7nedt0qj7tvuld0h6";"t16";"c1";"pq1";88;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t5";"c3";"pq2";35;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t13";"c1";"pq2";31;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t15";"c1";"irr";0;1
"arcq9q54p7nedt0qj7tvuld0h6";"t3";"c3";"pq2";90;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t8";"c3";"then";56;1
"arcq9q54p7nedt0qj7tvuld0h6";"t12";"c1";"then";88;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t11";"c1";"pq3";0;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t10";"c1";"pq3";0;1
"arcq9q54p7nedt0qj7tvuld0h6";"t13";"c1";"pq3";83;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t6";"c3";"pq1";36;1
"arcq9q54p7nedt0qj7tvuld0h6";"t15";"c1";"pq2";91;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t2";"c3";"then";66;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t1";"c3";"pq1";42;1
"lh74r0qpdbs67jfi93nqmupuf4";"t9";"c1";"pq3";24;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t12";"c1";"pq1";74;1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"t7";"c3";"then";81;1
"arcq9q54p7nedt0qj7tvuld0h6";"t10";"c1";"pq2";83;1
"lh74r0qpdbs67jfi93nqmupuf4";"t16";"c1";"pq3";12;1
"arcq9q54p7nedt0qj7tvuld0h6";"t5";"c3";"then";77;1
"arcq9q54p7nedt0qj7tvuld0h6";"t8";"c3";"irr";0;1
"lh74r0qpdbs67jfi93nqmupuf4";"t3";"c3";"pq3";48;1
