"id";"cond1";"cond2";"cond_q";"expec";"q2";"exp2";"q3";"exp3";"q4";"exp4";"q5";"exp5";"list"
"9pnkdbv1unungvuf2kun9akb36";"<id:prolificID>";"<id:prolificID>";"6155b137f40e36cb83f4016b";"<id:age>";"28";"<id:sex>";"male";"<id:edu>";"Bachelor";"<id:natLang>";"Deutsch";"weiter";1
"9pnkdbv1unungvuf2kun9akb36";"feedback";"";"";"";"";"";"";"";"";"";"";"";1
"daorarnj58i6splt1c5c9826s0";"<id:prolificID>";"<id:prolificID>";"61507e42dcca22e52eac77a3";"<id:age>";"23";"<id:sex>";"female";"<id:edu>";"Magister";"<id:natLang>";"Deutscg";"weiter";1
"daorarnj58i6splt1c5c9826s0";"feedback";"";"";"";"";"";"";"";"";"";"";"";1
"nibceue099bj6quqcl2a141362";"<id:prolificID>";"<id:prolificID>";"616f3558ec186de0053214b3";"<id:age>";"37";"<id:sex>";"female";"<id:edu>";"Bachelor";"<id:natLang>";"Deutsch";"weiter";1
"nibceue099bj6quqcl2a141362";"feedback";"";"";"";"";"";"";"";"";"";"";"";1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"<id:prolificID>";"<id:prolificID>";"61557f657ea604d6b6b0ad1a";"<id:age>";"35";"<id:sex>";"male";"<id:edu>";"Berufsausbildung";"<id:natLang>";"Deutsch";"weiter";1
"rs0fjkgh2kkgg6gr6ssf40v8k0";"feedback";"";"";"";"";"";"";"";"";"";"";"";1
"arcq9q54p7nedt0qj7tvuld0h6";"<id:prolificID>";"<id:prolificID>";"616595399672aa68337c0d30";"<id:age>";"25";"<id:sex>";"female";"<id:edu>";"Bachelor";"<id:natLang>";"Deutsch";"weiter";1
"arcq9q54p7nedt0qj7tvuld0h6";"feedback";"Die Studie lief problemlos, Erklärungen waren verständlich.";"";"";"";"";"";"";"";"";"";"";1
"lh74r0qpdbs67jfi93nqmupuf4";"<id:prolificID>";"<id:prolificID>";"616529cd79b29b3850c420cb";"<id:age>";"70";"<id:sex>";"male";"<id:edu>";"Realschule";"<id:natLang>";"Deutsch";"weiter";1
"lh74r0qpdbs67jfi93nqmupuf4";"feedback";"";"";"";"";"";"";"";"";"";"";"";1
"8shac86gndjn1dh6rpo91cajr5";"<id:prolificID>";"<id:prolificID>";"6147aac488fca8c4789a8b63";"<id:age>";"39";"<id:sex>";"female";"<id:edu>";"Abitur";"<id:natLang>";"Deutsch";"weiter";2
"8shac86gndjn1dh6rpo91cajr5";"feedback";"";"";"";"";"";"";"";"";"";"";"";2
"ik9tc7c5hnh7s1ul8nelg5d3k4";"<id:prolificID>";"<id:prolificID>";"6157139f1ba946120f20954d";"<id:age>";"28";"<id:sex>";"male";"<id:edu>";"Bachelor";"<id:natLang>";"Deutsch";"weiter";2
"ik9tc7c5hnh7s1ul8nelg5d3k4";"feedback";"sehr spannende Studie";"";"";"";"";"";"";"";"";"";"";2
"r95mgjnvgs5ahdo6qvfled1k84";"<id:prolificID>";"<id:prolificID>";"6169626dfcdd07ddc5d40769";"<id:age>";"28";"<id:sex>";"female";"<id:edu>";"Matura";"<id:natLang>";"Deutsch";"weiter";2
"r95mgjnvgs5ahdo6qvfled1k84";"feedback";"Nix zu meckern.";"";"";"";"";"";"";"";"";"";"";2
"40p4nq7fudsd32sbm9tl3phbd3";"<id:prolificID>";"<id:prolificID>";"5b296504bbd4880001117a19";"<id:age>";"27";"<id:sex>";"male";"<id:edu>";"Bachelor of Science";"<id:natLang>";"Deutsch";"weiter";2
"40p4nq7fudsd32sbm9tl3phbd3";"feedback";"";"";"";"";"";"";"";"";"";"";"";2
"lump9mhu1el7uak7qv6qhbnfr0";"<id:prolificID>";"<id:prolificID>";"616608ea95be4e1dd941b8c5";"<id:age>";"18";"<id:sex>";"female";"<id:edu>";"Realschule";"<id:natLang>";"Deutsch";"weiter";2
"lump9mhu1el7uak7qv6qhbnfr0";"feedback";"";"";"";"";"";"";"";"";"";"";"";2
"869dbq1icciu51pb2r31h60cq2";"<id:prolificID>";"<id:prolificID>";"61556d67880d334949f8efd7";"<id:age>";"27";"<id:sex>";"male";"<id:edu>";"Bachelor";"<id:natLang>";"Italienisch, Deutsch";"weiter";2
"869dbq1icciu51pb2r31h60cq2";"feedback";"";"";"";"";"";"";"";"";"";"";"";2
