"id";"cond_c";"target_no";"condA";"condB";"judgment";"list"
"00f4qn6f4tegvno37091va2qt7";"control";"4";"definite";"pro";35;1
"00f4qn6f4tegvno37091va2qt7";"control";"3";"definite";"pro";29;1
"00f4qn6f4tegvno37091va2qt7";"f";"7";"no_dm";"dm";66;1
"00f4qn6f4tegvno37091va2qt7";"f";"6";"dm";"no_dm";-57;1
"00f4qn6f4tegvno37091va2qt7";"f";"2";"front";"unfront";50;1
"00f4qn6f4tegvno37091va2qt7";"control";"2";"definite";"pro";-62;1
"00f4qn6f4tegvno37091va2qt7";"control";"1";"definite";"pro";-67;1
"00f4qn6f4tegvno37091va2qt7";"f";"8";"no_dm";"dm";65;1
"00f4qn6f4tegvno37091va2qt7";"f";"1";"unfront";"front";-72;1
"00f4qn6f4tegvno37091va2qt7";"f";"5";"dm";"no_dm";-62;1
"00f4qn6f4tegvno37091va2qt7";"f";"4";"front";"unfront";69;1
"00f4qn6f4tegvno37091va2qt7";"f";"3";"front";"unfront";58;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"8";"no_dm";"dm";100;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"1";"front";"unfront";-55;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"7";"no_dm";"dm";82;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"2";"unfront";"front";65;1
"2j3ful83avvsujb5bpkqm8d1a1";"control";"1";"definite";"pro";-100;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"3";"unfront";"front";-88;1
"2j3ful83avvsujb5bpkqm8d1a1";"control";"2";"definite";"pro";-100;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"5";"no_dm";"dm";100;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"4";"front";"unfront";-48;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"6";"dm";"no_dm";-100;1
"2j3ful83avvsujb5bpkqm8d1a1";"control";"3";"definite";"pro";-1;1
"2j3ful83avvsujb5bpkqm8d1a1";"control";"4";"definite";"pro";-73;1
"6an27b9eleft9geq94hd6l8ah5";"control";"2";"definite";"pro";53;1
"6an27b9eleft9geq94hd6l8ah5";"f";"6";"dm";"no_dm";64;1
"6an27b9eleft9geq94hd6l8ah5";"f";"5";"dm";"no_dm";-54;1
"6an27b9eleft9geq94hd6l8ah5";"f";"1";"front";"unfront";100;1
"6an27b9eleft9geq94hd6l8ah5";"control";"1";"definite";"pro";-100;1
"6an27b9eleft9geq94hd6l8ah5";"f";"7";"no_dm";"dm";100;1
"6an27b9eleft9geq94hd6l8ah5";"control";"4";"definite";"pro";100;1
"6an27b9eleft9geq94hd6l8ah5";"f";"4";"front";"unfront";100;1
"6an27b9eleft9geq94hd6l8ah5";"f";"2";"unfront";"front";-100;1
"6an27b9eleft9geq94hd6l8ah5";"f";"8";"no_dm";"dm";100;1
"6an27b9eleft9geq94hd6l8ah5";"control";"3";"definite";"pro";100;1
"6an27b9eleft9geq94hd6l8ah5";"f";"3";"front";"unfront";-1;1
"77ki8hcq1cudqno30dlgt2usu0";"control";"4";"definite";"pro";100;1
"77ki8hcq1cudqno30dlgt2usu0";"f";"5";"dm";"no_dm";-100;1
"77ki8hcq1cudqno30dlgt2usu0";"control";"1";"definite";"pro";-100;1
"77ki8hcq1cudqno30dlgt2usu0";"f";"8";"no_dm";"dm";100;1
"77ki8hcq1cudqno30dlgt2usu0";"f";"6";"no_dm";"dm";46;1
"77ki8hcq1cudqno30dlgt2usu0";"control";"3";"definite";"pro";-100;1
"77ki8hcq1cudqno30dlgt2usu0";"f";"7";"dm";"no_dm";-100;1
"77ki8hcq1cudqno30dlgt2usu0";"f";"3";"front";"unfront";98;1
"77ki8hcq1cudqno30dlgt2usu0";"f";"4";"unfront";"front";52;1
"77ki8hcq1cudqno30dlgt2usu0";"control";"2";"definite";"pro";-100;1
"77ki8hcq1cudqno30dlgt2usu0";"f";"2";"front";"unfront";-100;1
"77ki8hcq1cudqno30dlgt2usu0";"f";"1";"unfront";"front";100;1
