"x1";"id";"x2";"x3";"x4";"x5";"x6";"cond1";"x7";"x8";"condA";"x9";"condB";"x10";"judgment";"x12";"x13";"x14";"x15";"list";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"id";"00f4qn6f4tegvno37091va2qt7";"ip";"193.81.164.62";"time(s)";"16.381.984.921.870";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5d39f485e78c040001d05224";"<id:age>";"<id:age>";"age";18;"<id:sex>";"<id:sex>";"sex";"female";1;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"00f4qn6f4tegvno37091va2qt7";"ip";"193.81.164.62";"time(s)";"16.381.984.940.079";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";1;"";"";"";"";"";"";"";"";""
"id";"2j3ful83avvsujb5bpkqm8d1a1";"ip";"95.223.74.173";"time(s)";"16.382.011.071.810";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"60ac421ae2783a74ad07ff7a";"<id:age>";"<id:age>";"age";22;"<id:sex>";"<id:sex>";"sex";"male";1;"<id:edu>";"edu";"Hauptschulabschluss";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"2j3ful83avvsujb5bpkqm8d1a1";"ip";"95.223.74.173";"time(s)";"16.382.011.139.514";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";1;"";"";"";"";"";"";"";"";""
"id";"6an27b9eleft9geq94hd6l8ah5";"ip";"84.63.44.180";"time(s)";"16.381.992.794.417";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5ff5bdee84079f02e0ce635d";"<id:age>";"<id:age>";"age";21;"<id:sex>";"<id:sex>";"sex";"female";1;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"6an27b9eleft9geq94hd6l8ah5";"ip";"84.63.44.180";"time(s)";"16.381.992.843.684";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";1;"";"";"";"";"";"";"";"";""
"id";"77ki8hcq1cudqno30dlgt2usu0";"ip";"217.72.221.237";"time(s)";"16.382.019.991.901";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"61104a8a115d7706aafa0172";"<id:age>";"<id:age>";"age";20;"<id:sex>";"<id:sex>";"sex";"male";1;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"77ki8hcq1cudqno30dlgt2usu0";"ip";"217.72.221.237";"time(s)";"16.382.020.090.682";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";1;"";"";"";"";"";"";"";"";""
"id";"7vhabetcrh2bh87tq5q71gtk47";"ip";"141.70.6.35";"time(s)";"16.382.000.391.035";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"60fd517713f9f42dfcbd8d10";"<id:age>";"<id:age>";"age";21;"<id:sex>";"<id:sex>";"sex";"female";1;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"7vhabetcrh2bh87tq5q71gtk47";"ip";"141.70.6.35";"time(s)";"16.382.000.442.614";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";1;"";"";"";"";"";"";"";"";""
