"id";"cond_c";"target_no";"condA";"condB";"judgment";"list"
"2j3ful83avvsujb5bpkqm8d1a1";"f";"8";"no_dm";"dm";100;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"1";"front";"unfront";-55;1
"2j3ful83avvsujb5bpkqm8d1a1";"c1";"t11";"canonical";"cleft";86;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"7";"no_dm";"dm";82;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"2";"unfront";"front";65;1
"2j3ful83avvsujb5bpkqm8d1a1";"control";"1";"definite";"pro";-100;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"3";"unfront";"front";-88;1
"2j3ful83avvsujb5bpkqm8d1a1";"control";"2";"pro";"definite";-100;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"5";"no_dm";"dm";100;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"4";"front";"unfront";-48;1
"2j3ful83avvsujb5bpkqm8d1a1";"c1";"t16";"canonical";"cleft";77;1
"2j3ful83avvsujb5bpkqm8d1a1";"f";"6";"dm";"no_dm";-100;1
"2j3ful83avvsujb5bpkqm8d1a1";"control";"3";"definite";"pro";-1;1
"2j3ful83avvsujb5bpkqm8d1a1";"c3";"t9";"cleft";"canonical";68;1
"2j3ful83avvsujb5bpkqm8d1a1";"control";"4";"definite";"pro";-73;1
"2j3ful83avvsujb5bpkqm8d1a1";"c3";"t6";"canonical";"cleft";78;1
"6an27b9eleft9geq94hd6l8ah5";"control";"2";"definite";"pro";53;1
"6an27b9eleft9geq94hd6l8ah5";"f";"6";"dm";"no_dm";64;1
"6an27b9eleft9geq94hd6l8ah5";"f";"5";"dm";"no_dm";-54;1
"6an27b9eleft9geq94hd6l8ah5";"f";"1";"front";"unfront";100;1
"6an27b9eleft9geq94hd6l8ah5";"c1";"t11";"canonical";"cleft";-100;1
"6an27b9eleft9geq94hd6l8ah5";"control";"1";"pro";"definite";-100;1
"6an27b9eleft9geq94hd6l8ah5";"f";"7";"no_dm";"dm";100;1
"6an27b9eleft9geq94hd6l8ah5";"control";"4";"pro";"definite";100;1
"6an27b9eleft9geq94hd6l8ah5";"f";"4";"front";"unfront";100;1
"6an27b9eleft9geq94hd6l8ah5";"f";"2";"unfront";"front";-100;1
"6an27b9eleft9geq94hd6l8ah5";"f";"8";"no_dm";"dm";100;1
"6an27b9eleft9geq94hd6l8ah5";"control";"3";"pro";"definite";100;1
"6an27b9eleft9geq94hd6l8ah5";"f";"3";"front";"unfront";-1;1
"6an27b9eleft9geq94hd6l8ah5";"c1";"t16";"cleft";"canonical";-100;1
"6an27b9eleft9geq94hd6l8ah5";"c3";"t6";"cleft";"canonical";-100;1
"6an27b9eleft9geq94hd6l8ah5";"c3";"t9";"canonical";"cleft";-100;1
"77ki8hcq1cudqno30dlgt2usu0";"control";"4";"pro";"definite";100;1
"77ki8hcq1cudqno30dlgt2usu0";"c1";"t16";"canonical";"cleft";-27;1
"77ki8hcq1cudqno30dlgt2usu0";"c1";"t11";"cleft";"canonical";-20;1
"77ki8hcq1cudqno30dlgt2usu0";"f";"5";"dm";"no_dm";-100;1
"77ki8hcq1cudqno30dlgt2usu0";"control";"1";"pro";"definite";-100;1
"77ki8hcq1cudqno30dlgt2usu0";"c3";"t9";"cleft";"canonical";100;1
"77ki8hcq1cudqno30dlgt2usu0";"f";"8";"no_dm";"dm";100;1
"77ki8hcq1cudqno30dlgt2usu0";"f";"6";"no_dm";"dm";46;1
"77ki8hcq1cudqno30dlgt2usu0";"control";"3";"definite";"pro";-100;1
