"id";"cond1";"cond2";"cond_q";"expec";"q2";"exp2";"q3";"exp3";"q4";"exp4";"q5";"exp5";"list.id";"list.X0iag69rtodu334o9o79qju9g32";"list.ip";"list.X77.191.48.140";"list.time.s.";"list.X16.377.461.064.498";"list.data";"list.submit";"list.Ich.m�.chte.an.dem.Experiment.teilnehmen.";"list.X";"list.X.1";"list.X.2";"list.X.3";"list.X.4";"list.X.5";"list.X.6";"list.X.7";"list.X.8";"list.X.9";"list.X.10";"list.X.11";"list.X.12";"list.X.13";"list.X.14";"list.X.15";"list.X.16";"list.X.17";"list.X.18";"list.X.19";"list.X.20";"list.X.21"
"0iag69rtodu334o9o79qju9g32";"<id:prolificID>";"<id:prolificID>";"60aa4c26dd5d8157a8027438";"<id:age>";"19";"<id:sex>";"male";"<id:edu>";"Abitur";"<id:natLang>";"deutsch";"weiter";id;0iag69rtodu334o9o79qju9g32;ip;77.191.48.140;time(s);16.377.468.331.899;data;<id:prolificID>;<id:prolificID>;prolificID;60aa4c26dd5d8157a8027438;<id:age>;<id:age>;age;19;<id:sex>;<id:sex>;sex;male;<id:edu>;<id:edu>;edu;Abitur;<id:natLang>;<id:natLang>;natLang;deutsch;submit;weiter;;
"0iag69rtodu334o9o79qju9g32";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;0iag69rtodu334o9o79qju9g32;ip;77.191.48.140;time(s);16.377.468.403.752;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"0s4ocmjfa52hecqqa6ralh1lq6";"<id:prolificID>";"<id:prolificID>";"6093c5dc39760514172dbe74";"<id:age>";"28";"<id:sex>";"female";"<id:edu>";"Bachelor";"<id:natLang>";"deutsch";"weiter";id;0s4ocmjfa52hecqqa6ralh1lq6;ip;95.90.203.43;time(s);16.377.452.418.145;data;<id:prolificID>;<id:prolificID>;prolificID;6093c5dc39760514172dbe74;<id:age>;<id:age>;age;28;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;Bachelor;<id:natLang>;<id:natLang>;natLang;deutsch;submit;weiter;;
"0s4ocmjfa52hecqqa6ralh1lq6";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;0s4ocmjfa52hecqqa6ralh1lq6;ip;95.90.203.43;time(s);16.377.452.546.516;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"2hgtjn6743mh6vh9a41d2qsem1";"<id:prolificID>";"<id:prolificID>";"60f1669a6563dc71aaa5990b";"<id:age>";"28";"<id:sex>";"female";"<id:edu>";"Master";"<id:natLang>";"Deutsch";"weiter";id;2hgtjn6743mh6vh9a41d2qsem1;ip;89.242.213.230;time(s);16.377.476.963.363;data;<id:prolificID>;<id:prolificID>;prolificID;60f1669a6563dc71aaa5990b;<id:age>;<id:age>;age;28;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;Master;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"2hgtjn6743mh6vh9a41d2qsem1";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;2hgtjn6743mh6vh9a41d2qsem1;ip;89.242.213.230;time(s);16.377.476.980.328;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"2jk604hc37m9vkptru23hrio74";"<id:prolificID>";"<id:prolificID>";"6154512eca877599f2bc9d9d";"<id:age>";"24";"<id:sex>";"female";"<id:edu>";"Abitur";"<id:natLang>";"deutsch";"weiter";id;2jk604hc37m9vkptru23hrio74;ip;81.14.235.180;time(s);16.377.475.085.370;data;<id:prolificID>;<id:prolificID>;prolificID;6154512eca877599f2bc9d9d;<id:age>;<id:age>;age;24;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;Abitur;<id:natLang>;<id:natLang>;natLang;deutsch;submit;weiter;;
"2jk604hc37m9vkptru23hrio74";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;2jk604hc37m9vkptru23hrio74;ip;81.14.235.180;time(s);16.377.475.136.376;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
"2r4s0ehqkdoscjj4lk4rlbrpr0";"<id:prolificID>";"<id:prolificID>";"5c9b3126a586fd00154d5440";"<id:age>";"33";"<id:sex>";"female";"<id:edu>";"Master";"<id:natLang>";"Deutsch";"weiter";id;2r4s0ehqkdoscjj4lk4rlbrpr0;ip;92.4.7.208;time(s);16.377.460.174.424;data;<id:prolificID>;<id:prolificID>;prolificID;5c9b3126a586fd00154d5440;<id:age>;<id:age>;age;33;<id:sex>;<id:sex>;sex;female;<id:edu>;<id:edu>;edu;Master;<id:natLang>;<id:natLang>;natLang;Deutsch;submit;weiter;;
"2r4s0ehqkdoscjj4lk4rlbrpr0";"feedback";"";"";"";"";"";"";"";"";"";"";"";id;2r4s0ehqkdoscjj4lk4rlbrpr0;ip;92.4.7.208;time(s);16.377.460.210.754;data;feedback;;;;;;;;;;;;;;;;;;;;;;;
