"id";"target_no";"cond_c";"cond_q";"expec";"list"
"0iag69rtodu334o9o79qju9g32";NA;"f3";"q5";"0";1
"0iag69rtodu334o9o79qju9g32";NA;"f2";"q3";"98";1
"0iag69rtodu334o9o79qju9g32";NA;"f14";"q1";"90";1
"0iag69rtodu334o9o79qju9g32";NA;"f4";"q3";"65";1
"0iag69rtodu334o9o79qju9g32";NA;"f5";"q3";"82";1
"0iag69rtodu334o9o79qju9g32";NA;"f1";"q3";"84";1
"0iag69rtodu334o9o79qju9g32";NA;"f12";"q5";"3";1
"0iag69rtodu334o9o79qju9g32";NA;"f11";"q4";"6";1
"0iag69rtodu334o9o79qju9g32";NA;"f13";"q1";"96";1
"0iag69rtodu334o9o79qju9g32";NA;"f6";"q3";"37";1
"0iag69rtodu334o9o79qju9g32";NA;"f7";"q4";"91";1
"0iag69rtodu334o9o79qju9g32";NA;"f10";"q2";"14";1
"0iag69rtodu334o9o79qju9g32";NA;"f9";"q2";"100";1
"0iag69rtodu334o9o79qju9g32";NA;"f8";"q5";"2";1
"0s4ocmjfa52hecqqa6ralh1lq6";NA;"f9";"q5";"0";1
"0s4ocmjfa52hecqqa6ralh1lq6";NA;"f14";"q3";"0";1
"0s4ocmjfa52hecqqa6ralh1lq6";NA;"f10";"q4";"64";1
"0s4ocmjfa52hecqqa6ralh1lq6";NA;"f3";"q3";"53";1
"0s4ocmjfa52hecqqa6ralh1lq6";NA;"f1";"q5";"14";1
"0s4ocmjfa52hecqqa6ralh1lq6";NA;"f4";"q4";"13";1
"0s4ocmjfa52hecqqa6ralh1lq6";NA;"f8";"q1";"28";1
"0s4ocmjfa52hecqqa6ralh1lq6";NA;"f12";"q3";"29";1
"0s4ocmjfa52hecqqa6ralh1lq6";NA;"f5";"q2";"22";1
"0s4ocmjfa52hecqqa6ralh1lq6";NA;"f7";"q5";"22";1
"0s4ocmjfa52hecqqa6ralh1lq6";NA;"f6";"q3";"33";1
"0s4ocmjfa52hecqqa6ralh1lq6";NA;"f13";"q4";"46";1
"0s4ocmjfa52hecqqa6ralh1lq6";NA;"f11";"q5";"0";1
"0s4ocmjfa52hecqqa6ralh1lq6";NA;"f2";"q4";"58";1
"2hgtjn6743mh6vh9a41d2qsem1";NA;"f1";"q3";"100";1
"2hgtjn6743mh6vh9a41d2qsem1";NA;"f5";"q3";"100";1
"2hgtjn6743mh6vh9a41d2qsem1";NA;"f12";"q4";"0";1
"2hgtjn6743mh6vh9a41d2qsem1";NA;"f9";"q5";"0";1
"2hgtjn6743mh6vh9a41d2qsem1";NA;"f13";"q1";"100";1
"2hgtjn6743mh6vh9a41d2qsem1";NA;"f2";"q3";"100";1
"2hgtjn6743mh6vh9a41d2qsem1";NA;"f11";"q3";"0";1
"2hgtjn6743mh6vh9a41d2qsem1";NA;"f3";"q1";"100";1
"2hgtjn6743mh6vh9a41d2qsem1";NA;"f8";"q5";"0";1
"2hgtjn6743mh6vh9a41d2qsem1";NA;"f6";"q1";"100";1
"2hgtjn6743mh6vh9a41d2qsem1";NA;"f4";"q3";"45";1
"2hgtjn6743mh6vh9a41d2qsem1";NA;"f10";"q1";"73";1
"2hgtjn6743mh6vh9a41d2qsem1";NA;"f7";"q3";"0";1
"2hgtjn6743mh6vh9a41d2qsem1";NA;"f14";"q1";"100";1
"2jk604hc37m9vkptru23hrio74";NA;"f1";"q2";"90";1
"2jk604hc37m9vkptru23hrio74";NA;"f3";"q4";"0";1
"2jk604hc37m9vkptru23hrio74";NA;"f2";"q2";"84";1
"2jk604hc37m9vkptru23hrio74";NA;"f4";"q5";"0";1
"2jk604hc37m9vkptru23hrio74";NA;"f8";"q3";"100";1
"2jk604hc37m9vkptru23hrio74";NA;"f14";"q2";"29";1
"2jk604hc37m9vkptru23hrio74";NA;"f5";"q5";"0";1
"2jk604hc37m9vkptru23hrio74";NA;"f10";"q5";"100";1
"2jk604hc37m9vkptru23hrio74";NA;"f6";"q5";"100";1
"2jk604hc37m9vkptru23hrio74";NA;"f11";"q4";"0";1
"2jk604hc37m9vkptru23hrio74";NA;"f12";"q1";"100";1
"2jk604hc37m9vkptru23hrio74";NA;"f13";"q5";"0";1
"2jk604hc37m9vkptru23hrio74";NA;"f9";"q4";"86";1
"2jk604hc37m9vkptru23hrio74";NA;"f7";"q1";"0";1
"2r4s0ehqkdoscjj4lk4rlbrpr0";NA;"f14";"q5";"31";1
"2r4s0ehqkdoscjj4lk4rlbrpr0";NA;"f11";"q2";"47";1
"2r4s0ehqkdoscjj4lk4rlbrpr0";NA;"f12";"q4";"0";1
"2r4s0ehqkdoscjj4lk4rlbrpr0";NA;"f4";"q2";"0";1
"2r4s0ehqkdoscjj4lk4rlbrpr0";NA;"f10";"q5";"100";1
"2r4s0ehqkdoscjj4lk4rlbrpr0";NA;"f13";"q1";"100";1
"2r4s0ehqkdoscjj4lk4rlbrpr0";NA;"f5";"q1";"51";1
"2r4s0ehqkdoscjj4lk4rlbrpr0";NA;"f7";"q1";"0";1
"2r4s0ehqkdoscjj4lk4rlbrpr0";NA;"f9";"q1";"100";1
"2r4s0ehqkdoscjj4lk4rlbrpr0";NA;"f2";"q1";"100";1
"2r4s0ehqkdoscjj4lk4rlbrpr0";NA;"f1";"q2";"100";1
"2r4s0ehqkdoscjj4lk4rlbrpr0";NA;"f6";"q2";"100";1
"2r4s0ehqkdoscjj4lk4rlbrpr0";NA;"f8";"q5";"0";1
"2r4s0ehqkdoscjj4lk4rlbrpr0";NA;"f3";"q5";"0";1
"3026gvnis4cqkne9tb1cva17u3";NA;"f3";"q3";"71";1
"3026gvnis4cqkne9tb1cva17u3";NA;"f4";"q5";"72";1
"3026gvnis4cqkne9tb1cva17u3";NA;"f8";"q3";"92";1
"3026gvnis4cqkne9tb1cva17u3";NA;"f5";"q2";"58";1
"3026gvnis4cqkne9tb1cva17u3";NA;"f10";"q4";"100";1
