"id";"cond_c";"target_no";"condA";"condB";"judgment";"list"
"annssg973n07n2r092udm2if13";"f";"6";"no_dm";"dm";78;1
"annssg973n07n2r092udm2if13";"control";"3";"definite";"pro";40;1
"annssg973n07n2r092udm2if13";"f";"5";"dm";"no_dm";-83;1
"annssg973n07n2r092udm2if13";"f";"2";"unfront";"front";-84;1
"annssg973n07n2r092udm2if13";"f";"7";"dm";"no_dm";-53;1
"annssg973n07n2r092udm2if13";"control";"2";"pro";"definite";52;1
"annssg973n07n2r092udm2if13";"f";"3";"unfront";"front";-73;1
"annssg973n07n2r092udm2if13";"control";"1";"pro";"definite";46;1
"annssg973n07n2r092udm2if13";"f";"4";"unfront";"front";-89;1
"annssg973n07n2r092udm2if13";"control";"4";"definite";"pro";27;1
"annssg973n07n2r092udm2if13";"f";"1";"unfront";"front";-62;1
"annssg973n07n2r092udm2if13";"f";"8";"no_dm";"dm";85;1
"jjtuu0hmrhmpeveul9akvdjmb4";"control";"3";"definite";"pro";67;1
"jjtuu0hmrhmpeveul9akvdjmb4";"control";"4";"definite";"pro";55;1
"jjtuu0hmrhmpeveul9akvdjmb4";"f";"7";"no_dm";"dm";47;1
"jjtuu0hmrhmpeveul9akvdjmb4";"control";"1";"pro";"definite";51;1
"jjtuu0hmrhmpeveul9akvdjmb4";"control";"2";"pro";"definite";90;1
"jjtuu0hmrhmpeveul9akvdjmb4";"f";"8";"no_dm";"dm";72;1
"jjtuu0hmrhmpeveul9akvdjmb4";"f";"1";"unfront";"front";-85;1
"jjtuu0hmrhmpeveul9akvdjmb4";"f";"4";"front";"unfront";64;1
"jjtuu0hmrhmpeveul9akvdjmb4";"f";"5";"dm";"no_dm";-84;1
"jjtuu0hmrhmpeveul9akvdjmb4";"f";"6";"no_dm";"dm";75;1
"jjtuu0hmrhmpeveul9akvdjmb4";"f";"2";"unfront";"front";-87;1
"jjtuu0hmrhmpeveul9akvdjmb4";"f";"3";"front";"unfront";74;1
"nlaj8eappepjt1kv9b50h9rd36";"f";"7";"no_dm";"dm";100;1
"nlaj8eappepjt1kv9b50h9rd36";"f";"8";"dm";"no_dm";-100;1
"nlaj8eappepjt1kv9b50h9rd36";"f";"3";"unfront";"front";0;1
"nlaj8eappepjt1kv9b50h9rd36";"f";"1";"front";"unfront";100;1
"nlaj8eappepjt1kv9b50h9rd36";"f";"2";"unfront";"front";100;1
"nlaj8eappepjt1kv9b50h9rd36";"control";"2";"pro";"definite";100;1
"nlaj8eappepjt1kv9b50h9rd36";"control";"1";"pro";"definite";100;1
"nlaj8eappepjt1kv9b50h9rd36";"f";"4";"front";"unfront";-100;1
"nlaj8eappepjt1kv9b50h9rd36";"control";"3";"definite";"pro";74;1
"nlaj8eappepjt1kv9b50h9rd36";"control";"4";"definite";"pro";84;1
"nlaj8eappepjt1kv9b50h9rd36";"f";"6";"dm";"no_dm";-94;1
"nlaj8eappepjt1kv9b50h9rd36";"f";"5";"no_dm";"dm";100;1
"9qe3nu1k6vc6m1u74mit68k261";"f";"5";"dm";"no_dm";66;2
