"x1";"id";"x2";"x3";"x4";"x5";"x6";"cond1";"x7";"x8";"condA";"x9";"condB";"x10";"judgment";"x12";"x13";"x14";"x15";"list";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"id";"annssg973n07n2r092udm2if13";"ip";"77.3.230.1";"time(s)";"16.378.363.868.301";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5bed4a41806e560001a429b1";"<id:age>";"<id:age>";"age";26;"<id:sex>";"<id:sex>";"sex";"female";1;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"deutsch";"submit";"weiter"
"id";"annssg973n07n2r092udm2if13";"ip";"77.3.230.1";"time(s)";"16.378.363.897.656";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";1;"";"";"";"";"";"";"";"";""
"id";"jjtuu0hmrhmpeveul9akvdjmb4";"ip";"176.199.217.171";"time(s)";"16.378.352.507.992";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5b28a5407f7816000146620b";"<id:age>";"<id:age>";"age";23;"<id:sex>";"<id:sex>";"sex";"male";1;"<id:edu>";"edu";"Bachelor";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"jjtuu0hmrhmpeveul9akvdjmb4";"ip";"176.199.217.171";"time(s)";"16.378.352.530.984";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";1;"";"";"";"";"";"";"";"";""
"id";"nlaj8eappepjt1kv9b50h9rd36";"ip";"91.38.108.143";"time(s)";"16.378.360.771.392";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5aebb7138787840001f9e9c1";"<id:age>";"<id:age>";"age";24;"<id:sex>";"<id:sex>";"sex";"other";1;"<id:edu>";"edu";"kein Abschluss";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"nlaj8eappepjt1kv9b50h9rd36";"ip";"91.38.108.143";"time(s)";"16.378.360.832.333";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";1;"";"";"";"";"";"";"";"";""
"id";"9qe3nu1k6vc6m1u74mit68k261";"ip";"84.168.28.54";"time(s)";"16.378.365.792.357";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"61066e991d3b7cc1eacf2a53";"<id:age>";"<id:age>";"age";19;"<id:sex>";"<id:sex>";"sex";"female";2;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"9qe3nu1k6vc6m1u74mit68k261";"ip";"84.168.28.54";"time(s)";"16.378.365.813.218";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";2;"";"";"";"";"";"";"";"";""
"id";"qt6drrbrsuq859ugfcsqtdb8q1";"ip";"178.82.216.88";"time(s)";"16.378.371.248.792";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"6155a42475d666779a433723";"<id:age>";"<id:age>";"age";19;"<id:sex>";"<id:sex>";"sex";"male";2;"<id:edu>";"edu";"Bezirkschule (Ich weiss nicht was in Deutschland äquivalent ist) ";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch und Englisch";"submit";"weiter"
"id";"qt6drrbrsuq859ugfcsqtdb8q1";"ip";"178.82.216.88";"time(s)";"16.378.371.303.937";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";2;"";"";"";"";"";"";"";"";""
"id";"rv3ni255smaia1oi263eglluk7";"ip";"95.22.175.30";"time(s)";"16.378.357.507.176";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"6107afde8607f44cc676e1c9";"<id:age>";"<id:age>";"age";24;"<id:sex>";"<id:sex>";"sex";"female";2;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch, Italienisch";"submit";"weiter"
"id";"rv3ni255smaia1oi263eglluk7";"ip";"95.22.175.30";"time(s)";"16.378.357.588.747";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";2;"";"";"";"";"";"";"";"";""
"id";"fm21v16h6mfs3u4kkmc9kduvk5";"ip";"2.216.107.159";"time(s)";"16.378.371.668.043";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5de4f53abe7266080e4a73da";"<id:age>";"<id:age>";"age";28;"<id:sex>";"<id:sex>";"sex";"female";3;"<id:edu>";"edu";"Staatsexamen";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"fm21v16h6mfs3u4kkmc9kduvk5";"ip";"2.216.107.159";"time(s)";"16.378.371.715.003";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";3;"";"";"";"";"";"";"";"";""
"id";"gibtnii8fkl12maels8b8ep4d6";"ip";"95.112.147.196";"time(s)";"16.378.366.269.159";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"615b1e83747e6753f4497fa7";"<id:age>";"<id:age>";"age";22;"<id:sex>";"<id:sex>";"sex";"male";3;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"deutsch";"submit";"weiter"
"id";"gibtnii8fkl12maels8b8ep4d6";"ip";"95.112.147.196";"time(s)";"16.378.366.288.479";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";3;"";"";"";"";"";"";"";"";""
"id";"i0oeds923dcnas6hup9j8actk2";"ip";"31.172.107.159";"time(s)";"16.378.371.806.559";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"6017f5447f813caa4cf30c18";"<id:age>";"<id:age>";"age";26;"<id:sex>";"<id:sex>";"sex";"male";3;"<id:edu>";"edu";"B.Sc.";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"i0oeds923dcnas6hup9j8actk2";"ip";"31.172.107.159";"time(s)";"16.378.371.830.780";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";3;"";"";"";"";"";"";"";"";""
"id";"imtgt8l7iffn5uq0rivl5m0026";"ip";"90.215.4.54";"time(s)";"16.378.372.465.828";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5c23c651d9435800010b7e48";"<id:age>";"<id:age>";"age";41;"<id:sex>";"<id:sex>";"sex";"female";3;"<id:edu>";"edu";"Bachelor";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"imtgt8l7iffn5uq0rivl5m0026";"ip";"90.215.4.54";"time(s)";"16.378.372.803.363";"data";"feedback";"Alles war sehr gut erläutert und erklärt!";"";"";"";"";"";NA;"";"";"";"";3;"";"";"";"";"";"";"";"";""
"id";"ph5vfk827nm2q4csdfaqctn0b0";"ip";"87.123.195.66";"time(s)";"16.378.355.135.475";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"60fd5794483df52220b8e128";"<id:age>";"<id:age>";"age";26;"<id:sex>";"<id:sex>";"sex";"male";3;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"ph5vfk827nm2q4csdfaqctn0b0";"ip";"87.123.195.66";"time(s)";"16.378.355.326.142";"data";"feedback";"Eine sehr übersichtliche und einfach zu verstehende Studie.";"";"";"";"";"";NA;"";"";"";"";3;"";"";"";"";"";"";"";"";""
"id";"sncjoa64ok7vovm86ojncce0p4";"ip";"92.7.122.190";"time(s)";"16.378.366.960.767";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"60a3e088626c733deb371afa";"<id:age>";"<id:age>";"age";37;"<id:sex>";"<id:sex>";"sex";"male";3;"<id:edu>";"edu";"Gymnasium";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"sncjoa64ok7vovm86ojncce0p4";"ip";"92.7.122.190";"time(s)";"16.378.367.025.119";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";3;"";"";"";"";"";"";"";"";""
"id";"1e7g0t0nne8u6e6ght75rif4l7";"ip";"145.40.214.249";"time(s)";"16.378.370.015.014";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"61683c4adb485ba7890e8d48";"<id:age>";"<id:age>";"age";45;"<id:sex>";"<id:sex>";"sex";"female";4;"<id:edu>";"edu";"Hochschule/Universität";"<id:natLang>";"<id:natLang>";"natLang";"DE";"submit";"weiter"
"id";"1e7g0t0nne8u6e6ght75rif4l7";"ip";"145.40.214.249";"time(s)";"16.378.371.034.014";"data";"feedback";"Danke. Fragebogen funktionierte nicht via Google Chrome (Die Taste \"weiter\" konnte nicht angeklickt werden). Über Firefox ging es dann. Viel Erfolg Ihnen.";"";"";"";"";"";NA;"";"";"";"";4;"";"";"";"";"";"";"";"";""
