id;cond_c;target_no;condA;condB;judgment;list
4gpgh11e7a3m9pdicfjvvtmd97;control;1;definite;pro;-100;6
4gpgh11e7a3m9pdicfjvvtmd97;control;2;definite;pro;45;6
4gpgh11e7a3m9pdicfjvvtmd97;control;3;definite;pro;28;6
4gpgh11e7a3m9pdicfjvvtmd97;control;4;definite;pro;56;6
cs4sf138torpl120eoujvea9m6;control;1;definite;pro;-56;2
cs4sf138torpl120eoujvea9m6;control;2;definite;pro;0;2
cs4sf138torpl120eoujvea9m6;control;3;definite;pro;53;2
cs4sf138torpl120eoujvea9m6;control;4;definite;pro;100;2
d7qk30b61d41h692fapiclpu57;control;1;definite;pro;-55;1
d7qk30b61d41h692fapiclpu57;control;2;definite;pro;-55;1
d7qk30b61d41h692fapiclpu57;control;3;definite;pro;15;1
d7qk30b61d41h692fapiclpu57;control;4;definite;pro;14;1
ft3arnanjddr32b7o6jmcdke45;control;1;definite;pro;-88;7
ft3arnanjddr32b7o6jmcdke45;control;2;definite;pro;-55;7
ft3arnanjddr32b7o6jmcdke45;control;3;definite;pro;39;7
ft3arnanjddr32b7o6jmcdke45;control;4;definite;pro;19;7
oojik6ulld7q38omeprib58n36;control;1;definite;pro;-54;6
oojik6ulld7q38omeprib58n36;control;2;definite;pro;-38;6
oojik6ulld7q38omeprib58n36;control;3;definite;pro;-26;6
oojik6ulld7q38omeprib58n36;control;4;definite;pro;64;6
vga86sqbrarr4pggng9jdboak0;control;1;definite;pro;100;3
vga86sqbrarr4pggng9jdboak0;control;2;definite;pro;-100;3
vga86sqbrarr4pggng9jdboak0;control;3;definite;pro;100;3
vga86sqbrarr4pggng9jdboak0;control;4;definite;pro;100;3
