"x1";"id";"x2";"x3";"x4";"x5";"x6";"cond1";"x7";"x8";"condA";"x9";"condB";"x10";"judgment";"x12";"x13";"x14";"x15";"list";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"id";"6dhk6oipsvei8qf4fm4pjg2c51";"ip";"84.115.214.109";"time(s)";"16.379.306.237.350";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"6103066ae1db11ab1df95fa4";"<id:age>";"<id:age>";"age";19;"<id:sex>";"<id:sex>";"sex";"female";1;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"6dhk6oipsvei8qf4fm4pjg2c51";"ip";"84.115.214.109";"time(s)";"16.379.306.585.401";"data";"feedback";"Einfach zu bedienen, verständlich erklärt, alles gut.";"";"";"";"";"";NA;"";"";"";"";1;"";"";"";"";"";"";"";"";""
"id";"6eg715attctpaqp6rr03gv8i71";"ip";"78.34.196.89";"time(s)";"16.379.301.799.109";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5ea84cf5cbdc9b08575d5b7d";"<id:age>";"<id:age>";"age";20;"<id:sex>";"<id:sex>";"sex";"male";1;"<id:edu>";"edu";"abitur";"<id:natLang>";"<id:natLang>";"natLang";"deutsch";"submit";"weiter"
"id";"6eg715attctpaqp6rr03gv8i71";"ip";"78.34.196.89";"time(s)";"16.379.301.855.867";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";1;"";"";"";"";"";"";"";"";""
"id";"bbjugbmd8qnmneed452qv196r0";"ip";"46.114.154.219";"time(s)";"16.379.291.662.063";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"614f114edc253d298397193d";"<id:age>";"<id:age>";"age";54;"<id:sex>";"<id:sex>";"sex";"male";1;"<id:edu>";"edu";"Diplom Kunsthochschule";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"bbjugbmd8qnmneed452qv196r0";"ip";"46.114.154.219";"time(s)";"16.379.292.180.356";"data";"feedback";"Zielsetzung der Studie unklar. ";"";"";"";"";"";NA;"";"";"";"";1;"";"";"";"";"";"";"";"";""
"id";"d7qk30b61d41h692fapiclpu57";"ip";"92.211.195.112";"time(s)";"16.379.297.954.484";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"610ee61e37a79a8bf72bd52b";"<id:age>";"<id:age>";"age";20;"<id:sex>";"<id:sex>";"sex";"male";1;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"d7qk30b61d41h692fapiclpu57";"ip";"92.211.195.112";"time(s)";"16.379.298.003.965";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";1;"";"";"";"";"";"";"";"";""
"id";"1hts2ok5u2htc42itpro8rfrf1";"ip";"88.217.170.217";"time(s)";"16.379.302.625.548";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5c07c267f9f1890001338d60";"<id:age>";"<id:age>";"age";32;"<id:sex>";"<id:sex>";"sex";"male";2;"<id:edu>";"edu";"Mittlere Reife";"<id:natLang>";"<id:natLang>";"natLang";"deutsch";"submit";"weiter"
"id";"1hts2ok5u2htc42itpro8rfrf1";"ip";"88.217.170.217";"time(s)";"16.379.302.645.025";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";2;"";"";"";"";"";"";"";"";""
"id";"3qr2et8nh31l4gch4ehv3pi973";"ip";"95.91.251.246";"time(s)";"16.379.293.743.836";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5eb181ce611ac50989d4bd03";"<id:age>";"<id:age>";"age";37;"<id:sex>";"<id:sex>";"sex";"male";2;"<id:edu>";"edu";"Master";"<id:natLang>";"<id:natLang>";"natLang";"deutsch";"submit";"weiter"
"id";"3qr2et8nh31l4gch4ehv3pi973";"ip";"95.91.251.246";"time(s)";"16.379.293.771.635";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";2;"";"";"";"";"";"";"";"";""
"id";"akuuosjp21fp7ebtj63m6ijjp6";"ip";"217.95.70.151";"time(s)";"16.379.298.286.065";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"60fec18b19aba5080ebbc1d4";"<id:age>";"<id:age>";"age";23;"<id:sex>";"<id:sex>";"sex";"female";2;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"akuuosjp21fp7ebtj63m6ijjp6";"ip";"217.95.70.151";"time(s)";"16.379.298.303.218";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";2;"";"";"";"";"";"";"";"";""
"id";"cs4sf138torpl120eoujvea9m6";"ip";"212.95.6.40";"time(s)";"16.379.309.061.782";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"6169baf37a9c3c43f010cedb";"<id:age>";"<id:age>";"age";61;"<id:sex>";"<id:sex>";"sex";"male";2;"<id:edu>";"edu";"Promotion";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"cs4sf138torpl120eoujvea9m6";"ip";"212.95.6.40";"time(s)";"16.379.309.087.837";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";2;"";"";"";"";"";"";"";"";""
"id";"8uihrjncit277v8j01mh8mk6l1";"ip";"217.226.200.228";"time(s)";"16.379.292.174.787";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"6154475c7af945c18ab92406";"<id:age>";"<id:age>";"age";23;"<id:sex>";"<id:sex>";"sex";"male";3;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"8uihrjncit277v8j01mh8mk6l1";"ip";"217.226.200.228";"time(s)";"16.379.292.223.119";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";3;"";"";"";"";"";"";"";"";""
"id";"bon4vkcundvjfc2l34l60upjr7";"ip";"213.143.114.98";"time(s)";"16.379.304.678.720";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"61549b300d71f451a585508d";"<id:age>";"<id:age>";"age";29;"<id:sex>";"<id:sex>";"sex";"male";3;"<id:edu>";"edu";"BSc";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"bon4vkcundvjfc2l34l60upjr7";"ip";"213.143.114.98";"time(s)";"16.379.304.743.860";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";3;"";"";"";"";"";"";"";"";""
"id";"iae9f6n635v4r7uu4debjki015";"ip";"90.40.194.241";"time(s)";"16.379.304.314.132";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"613b5e02f007dc6d30164fb3";"<id:age>";"<id:age>";"age";24;"<id:sex>";"<id:sex>";"sex";"male";3;"<id:edu>";"edu";"Master";"<id:natLang>";"<id:natLang>";"natLang";"DEUSTCH FRANZOSISCH";"submit";"weiter"
"id";"iae9f6n635v4r7uu4debjki015";"ip";"90.40.194.241";"time(s)";"16.379.304.337.361";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";3;"";"";"";"";"";"";"";"";""
"id";"vga86sqbrarr4pggng9jdboak0";"ip";"95.91.223.18";"time(s)";"16.379.318.346.849";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5f0d9ede34d11c0176884a58";"<id:age>";"<id:age>";"age";25;"<id:sex>";"<id:sex>";"sex";"female";3;"<id:edu>";"edu";"Bachelor";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"vga86sqbrarr4pggng9jdboak0";"ip";"95.91.223.18";"time(s)";"16.379.318.363.296";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";3;"";"";"";"";"";"";"";"";""
"id";"491r9ham1a947cdmlacgq71im0";"ip";"84.164.195.178";"time(s)";"16.379.303.523.705";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"611cee23dadf1f34fa3351be";"<id:age>";"<id:age>";"age";19;"<id:sex>";"<id:sex>";"sex";"female";4;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"491r9ham1a947cdmlacgq71im0";"ip";"84.164.195.178";"time(s)";"16.379.303.586.209";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";4;"";"";"";"";"";"";"";"";""
"id";"a4i2aocevsoplcevv0negmsd06";"ip";"37.201.154.105";"time(s)";"16.379.304.400.044";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5f8f2671176d2814737f6d37";"<id:age>";"<id:age>";"age";23;"<id:sex>";"<id:sex>";"sex";"female";4;"<id:edu>";"edu";"Bachelor";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"a4i2aocevsoplcevv0negmsd06";"ip";"37.201.154.105";"time(s)";"16.379.304.420.900";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";4;"";"";"";"";"";"";"";"";""
"id";"cimu2g5remtp6rt5ti46m526c0";"ip";"62.99.195.210";"time(s)";"16.379.292.738.841";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"60fdd1f928799a9ea67e5b23";"<id:age>";"<id:age>";"age";22;"<id:sex>";"<id:sex>";"sex";"female";4;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch, Italienisch";"submit";"weiter"
"id";"cimu2g5remtp6rt5ti46m526c0";"ip";"62.99.195.210";"time(s)";"16.379.292.796.637";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";4;"";"";"";"";"";"";"";"";""
"id";"ngtui20l3oqn80rg0tdubb2qc5";"ip";"109.42.114.82";"time(s)";"16.379.303.004.082";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5f6c6e18b20ea10008a25d1f";"<id:age>";"<id:age>";"age";22;"<id:sex>";"<id:sex>";"sex";"female";4;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"deutsch";"submit";"weiter"
"id";"ngtui20l3oqn80rg0tdubb2qc5";"ip";"109.42.114.82";"time(s)";"16.379.303.032.522";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";4;"";"";"";"";"";"";"";"";""
"id";"4f23jld96963hhd5clq97gc2s3";"ip";"178.7.161.153";"time(s)";"16.379.293.022.434";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"61482e58f2e909996956b1c7";"<id:age>";"<id:age>";"age";22;"<id:sex>";"<id:sex>";"sex";"female";5;"<id:edu>";"edu";"Mittelschulabschluss";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"4f23jld96963hhd5clq97gc2s3";"ip";"178.7.161.153";"time(s)";"16.379.293.047.100";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";5;"";"";"";"";"";"";"";"";""
"id";"s3htsvat0b8lv32i7msgpdhd14";"ip";"95.223.230.250";"time(s)";"16.379.287.389.993";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5b18cca868a5ed0001734bfe";"<id:age>";"<id:age>";"age";27;"<id:sex>";"<id:sex>";"sex";"male";5;"<id:edu>";"edu";"Realschulabschluss";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"s3htsvat0b8lv32i7msgpdhd14";"ip";"95.223.230.250";"time(s)";"16.379.287.543.471";"data";"feedback";"interessante Studie :=)";"";"";"";"";"";NA;"";"";"";"";5;"";"";"";"";"";"";"";"";""
"id";"uskbh3tas3sj8gc2vj2841slg6";"ip";"212.23.130.90";"time(s)";"16.379.301.921.000";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5bbaeece0cb04c00014feeba";"<id:age>";"<id:age>";"age";26;"<id:sex>";"<id:sex>";"sex";"male";5;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"uskbh3tas3sj8gc2vj2841slg6";"ip";"212.23.130.90";"time(s)";"16.379.301.939.381";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";5;"";"";"";"";"";"";"";"";""
"id";"vaof1k9i74trc0ik9el8q0efd7";"ip";"89.144.203.3";"time(s)";"16.379.301.023.568";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"6107fb0fdceea6ef180de79b";"<id:age>";"<id:age>";"age";24;"<id:sex>";"<id:sex>";"sex";"female";5;"<id:edu>";"edu";"BEd";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"vaof1k9i74trc0ik9el8q0efd7";"ip";"89.144.203.3";"time(s)";"16.379.301.128.384";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";5;"";"";"";"";"";"";"";"";""
"id";"4gpgh11e7a3m9pdicfjvvtmd97";"ip";"92.215.107.17";"time(s)";"16.379.300.796.612";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5e5274dc80c3502832663ca1";"<id:age>";"<id:age>";"age";29;"<id:sex>";"<id:sex>";"sex";"male";6;"<id:edu>";"edu";"Mittlere Reife";"<id:natLang>";"<id:natLang>";"natLang";"deutsch";"submit";"weiter"
"id";"4gpgh11e7a3m9pdicfjvvtmd97";"ip";"92.215.107.17";"time(s)";"16.379.300.812.120";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";6;"";"";"";"";"";"";"";"";""
"id";"7p2p6bj2s698p2hgtb81siebo6";"ip";"95.90.184.90";"time(s)";"16.379.290.139.034";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"614595c2f02b81d11457a399";"<id:age>";"<id:age>";"age";56;"<id:sex>";"<id:sex>";"sex";"male";6;"<id:edu>";"edu";"Diplom FH";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"7p2p6bj2s698p2hgtb81siebo6";"ip";"95.90.184.90";"time(s)";"16.379.290.214.234";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";6;"";"";"";"";"";"";"";"";""
"id";"cj5tic1c56udr4vbd18uh5rno4";"ip";"93.228.229.139";"time(s)";"16.379.297.150.467";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"60ff9045b6846ce87e7cdff5";"<id:age>";"<id:age>";"age";23;"<id:sex>";"<id:sex>";"sex";"female";6;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"cj5tic1c56udr4vbd18uh5rno4";"ip";"93.228.229.139";"time(s)";"16.379.297.244.513";"data";"feedback";"/";"";"";"";"";"";NA;"";"";"";"";6;"";"";"";"";"";"";"";"";""
"id";"oojik6ulld7q38omeprib58n36";"ip";"185.202.220.98";"time(s)";"16.379.303.753.697";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"61015be1e83b1c3a40da8d3f";"<id:age>";"<id:age>";"age";19;"<id:sex>";"<id:sex>";"sex";"female";6;"<id:edu>";"edu";"Abitur";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"oojik6ulld7q38omeprib58n36";"ip";"185.202.220.98";"time(s)";"16.379.303.802.326";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";6;"";"";"";"";"";"";"";"";""
"id";"4io8fvv40272a9vtnh12l6s564";"ip";"86.13.110.243";"time(s)";"16.379.302.483.308";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"60b8063c157b65be3eb7c88e";"<id:age>";"<id:age>";"age";36;"<id:sex>";"<id:sex>";"sex";"female";7;"<id:edu>";"edu";"Universität";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"4io8fvv40272a9vtnh12l6s564";"ip";"86.13.110.243";"time(s)";"16.379.302.525.562";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";7;"";"";"";"";"";"";"";"";""
"id";"b3brovpldp0u1vkbbjfrkjisj6";"ip";"87.181.110.145";"time(s)";"16.379.299.097.534";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5eb6d8b84ff3445d719f28be";"<id:age>";"<id:age>";"age";28;"<id:sex>";"<id:sex>";"sex";"female";7;"<id:edu>";"edu";"Bachelor";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"b3brovpldp0u1vkbbjfrkjisj6";"ip";"87.181.110.145";"time(s)";"16.379.299.131.471";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";7;"";"";"";"";"";"";"";"";""
"id";"ft3arnanjddr32b7o6jmcdke45";"ip";"80.146.97.184";"time(s)";"16.379.291.187.258";"data";"<id:prolificID>";"<id:prolificID>";"prolificID";"5cac76acd6a3130016e3542b";"<id:age>";"<id:age>";"age";31;"<id:sex>";"<id:sex>";"sex";"male";7;"<id:edu>";"edu";"M.Sc.";"<id:natLang>";"<id:natLang>";"natLang";"Deutsch";"submit";"weiter"
"id";"ft3arnanjddr32b7o6jmcdke45";"ip";"80.146.97.184";"time(s)";"16.379.291.250.928";"data";"feedback";"";"";"";"";"";"";NA;"";"";"";"";7;"";"";"";"";"";"";"";"";""
