"id";"target_no";"cond_c";"cond_q";"expec";"list"
"1nocomk00900kqo4dru45fkhi1";NA;"f10";"q2";"20";1
"1nocomk00900kqo4dru45fkhi1";NA;"f4";"q5";"42";1
"1nocomk00900kqo4dru45fkhi1";NA;"f13";"q5";"16";1
"1nocomk00900kqo4dru45fkhi1";NA;"f8";"q1";"73";1
"1nocomk00900kqo4dru45fkhi1";NA;"f9";"q3";"65";1
"1nocomk00900kqo4dru45fkhi1";NA;"f2";"q4";"99";1
"1nocomk00900kqo4dru45fkhi1";NA;"f14";"q5";"8";1
"1nocomk00900kqo4dru45fkhi1";NA;"f7";"q2";"56";1
"1nocomk00900kqo4dru45fkhi1";NA;"f1";"q1";"66";1
"1nocomk00900kqo4dru45fkhi1";NA;"f6";"q3";"68";1
"1nocomk00900kqo4dru45fkhi1";NA;"f11";"q2";"8";1
"1nocomk00900kqo4dru45fkhi1";NA;"f3";"q5";"12";1
"1nocomk00900kqo4dru45fkhi1";NA;"f12";"q1";"93";1
"1nocomk00900kqo4dru45fkhi1";NA;"f5";"q5";"30";1
"3n506sudkq996ib072dunv7k36";NA;"f9";"q3";"6";1
"3n506sudkq996ib072dunv7k36";NA;"f5";"q5";"0";1
"3n506sudkq996ib072dunv7k36";NA;"f11";"q3";"0";1
"3n506sudkq996ib072dunv7k36";NA;"f12";"q4";"4";1
"3n506sudkq996ib072dunv7k36";NA;"f1";"q1";"2";1
"3n506sudkq996ib072dunv7k36";NA;"f2";"q1";"46";1
"3n506sudkq996ib072dunv7k36";NA;"f6";"q1";"85";1
"3n506sudkq996ib072dunv7k36";NA;"f4";"q4";"0";1
"3n506sudkq996ib072dunv7k36";NA;"f7";"q4";"74";1
"3n506sudkq996ib072dunv7k36";NA;"f14";"q2";"7";1
"3n506sudkq996ib072dunv7k36";NA;"f3";"q2";"87";1
"3n506sudkq996ib072dunv7k36";NA;"f13";"q1";"100";1
"3n506sudkq996ib072dunv7k36";NA;"f8";"q5";"0";1
"3n506sudkq996ib072dunv7k36";NA;"f10";"q1";"81";1
"46hqfvnhpj00klpdu05mppc5a7";NA;"f7";"q3";"3";1
"46hqfvnhpj00klpdu05mppc5a7";NA;"f13";"q5";"0";1
"46hqfvnhpj00klpdu05mppc5a7";NA;"f9";"q2";"100";1
"46hqfvnhpj00klpdu05mppc5a7";NA;"f5";"q5";"20";1
"46hqfvnhpj00klpdu05mppc5a7";NA;"f4";"q2";"16";1
"46hqfvnhpj00klpdu05mppc5a7";NA;"f6";"q5";"100";1
