"id";"cond1";"cond2";"cond_q";"expec";"q2";"exp2";"q3";"exp3";"q4";"exp4";"q5";"exp5";"list"
"1nocomk00900kqo4dru45fkhi1";"<id:prolificID>";"<id:prolificID>";"615592b28bc6b76d24eabf6a";"<id:age>";"21";"<id:sex>";"male";"<id:edu>";"Matura";"<id:natLang>";"Deutsch";"weiter";1
"1nocomk00900kqo4dru45fkhi1";"feedback";"";"";"";"";"";"";"";"";"";"";"";1
"3n506sudkq996ib072dunv7k36";"<id:prolificID>";"<id:prolificID>";"5fff0dac0cbe2064e56cd2e6";"<id:age>";"35";"<id:sex>";"female";"<id:edu>";"Bachelor";"<id:natLang>";"Deutsch";"weiter";1
"3n506sudkq996ib072dunv7k36";"feedback";"Es hat Spaß gemacht teilzunehmen:)";"";"";"";"";"";"";"";"";"";"";1
"46hqfvnhpj00klpdu05mppc5a7";"<id:prolificID>";"<id:prolificID>";"5d0f89123382180001624f48";"<id:age>";"29";"<id:sex>";"female";"<id:edu>";"MA";"<id:natLang>";"Deutsch";"weiter";1
"46hqfvnhpj00klpdu05mppc5a7";"feedback";"";"";"";"";"";"";"";"";"";"";"";1
"7ettv6kqk9tb0miedo4cb1fhj0";"<id:prolificID>";"<id:prolificID>";"61557aa7d30f9f30250ce238";"<id:age>";"41";"<id:sex>";"male";"<id:edu>";"Uni";"<id:natLang>";"Deutsch";"weiter";1
"7ettv6kqk9tb0miedo4cb1fhj0";"feedback";"kann mir kaum vorstellen, was man von solchen Studien erwartet.";"";"";"";"";"";"";"";"";"";"";1
"poa12fan3bi3hc5d9degrb9v71";"<id:prolificID>";"<id:prolificID>";"605c7bd2d23cc89750cd22f6";"<id:age>";"29";"<id:sex>";"male";"<id:edu>";"Master";"<id:natLang>";"Deutsch";"weiter";1
"poa12fan3bi3hc5d9degrb9v71";"feedback";"";"";"";"";"";"";"";"";"";"";"";1
"29pfvlifaa3p0ngtnr3bn6aia5";"<id:prolificID>";"<id:prolificID>";"5e7b485f469f741485b7803e";"<id:age>";"26";"<id:sex>";"female";"<id:edu>";"Abitur";"<id:natLang>";"Deutsch";"weiter";2
"29pfvlifaa3p0ngtnr3bn6aia5";"feedback";"";"";"";"";"";"";"";"";"";"";"";2
"eluh4ta6l0agoqf4c3643amm56";"<id:prolificID>";"<id:prolificID>";"6047160c7861011a33829c25";"<id:age>";"29";"<id:sex>";"male";"<id:edu>";"Master";"<id:natLang>";"Deutsch";"weiter";2
"eluh4ta6l0agoqf4c3643amm56";"feedback";"";"";"";"";"";"";"";"";"";"";"";2
"fr9ofphi3934sn598cjbm6bgs5";"<id:prolificID>";"<id:prolificID>";"5e48afb1a68f6b347dabe7e3";"<id:age>";"29";"<id:sex>";"male";"<id:edu>";"Bachelor";"<id:natLang>";"Deutsch";"weiter";2
"fr9ofphi3934sn598cjbm6bgs5";"feedback";"";"";"";"";"";"";"";"";"";"";"";2
"mm63pp0gtbb5qt6ljj83qbe5t1";"<id:prolificID>";"<id:prolificID>";"6155a5b04aa6934e2a7cb6b7";"<id:age>";"39";"<id:sex>";"male";"<id:edu>";"MSc VWL";"<id:natLang>";"Schweizerdeutsch";"weiter";2
"mm63pp0gtbb5qt6ljj83qbe5t1";"feedback";"";"";"";"";"";"";"";"";"";"";"";2
"s6l6qfidgnfjha62eje409pj75";"<id:prolificID>";"<id:prolificID>";"5e6c965de6c65a24727e1d08";"<id:age>";"31";"<id:sex>";"male";"<id:edu>";"Abitur";"<id:natLang>";"Deutsch";"weiter";2
"s6l6qfidgnfjha62eje409pj75";"feedback";"";"";"";"";"";"";"";"";"";"";"";2
